Options:
Model:                           MultiState
Tree File Name:                  data/geeta_phylo_geeta_class.tre
Data File Name:                  data/geeta_phylo_geeta_class.txt
Log File Name:                   data/geeta_phylo_geeta_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2447374639
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/geeta_phylo_geeta_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      99
     Taxa:                       561
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-493.449769	1	0.032115	0.020136	0.019707	0.048008	0.088434	0.082442	0.026047	0.015648	0.084425	0.074051	0.099376	0.062744	0.999999	0.000000	0.000000	0.000000	
1000	-494.675115	13	0.032115	0.020136	0.019707	0.048008	0.088434	0.082442	0.026047	0.015648	0.084425	0.074051	0.099376	0.062744	0.999999	0.000000	0.000000	0.000001	
2000	-492.516994	58	0.032115	0.020136	0.019707	0.048008	0.088434	0.082442	0.026047	0.015648	0.084425	0.074051	0.099376	0.062744	0.999999	0.000000	0.000000	0.000001	
3000	-478.714163	26	0.023843	0.024286	0.046864	0.086982	0.033156	0.027676	0.098120	0.062977	0.038882	0.090704	0.049656	0.020206	0.999996	0.000002	0.000001	0.000001	
4000	-440.261695	28	0.072464	0.058923	0.089050	0.010556	0.012768	0.012132	0.065779	0.016402	0.008113	0.098511	0.038928	0.018457	0.999999	0.000000	0.000000	0.000001	
5000	-431.275432	19	0.092596	0.082937	0.098770	0.029429	0.014352	0.011816	0.097017	0.019699	0.008472	0.083292	0.022749	0.026722	0.999998	0.000000	0.000001	0.000001	
6000	-430.799682	79	0.092596	0.082937	0.098770	0.029429	0.014352	0.011816	0.097017	0.019699	0.008472	0.083292	0.022749	0.026722	0.999998	0.000000	0.000001	0.000001	
7000	-432.874545	27	0.086066	0.065343	0.095614	0.049602	0.056693	0.031391	0.044614	0.016235	0.003527	0.081565	0.044979	0.039512	0.999999	0.000000	0.000000	0.000001	
8000	-427.971299	76	0.090967	0.067194	0.099471	0.061639	0.094911	0.063781	0.035791	0.041639	0.005903	0.089917	0.090292	0.041965	0.999999	0.000001	0.000000	0.000001	
9000	-427.462222	66	0.098549	0.080625	0.097669	0.053096	0.070184	0.032900	0.029859	0.062221	0.004090	0.085617	0.059504	0.063030	0.999999	0.000000	0.000000	0.000001	
