Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1	0.000000	0.0	0	7.357664	1	0.000000	0.000000	0.000000	
811	0.000000	189	0.555556	7.357664	812	0.000000	0.105000	0.104895	
760	0.000000	240	0.595833	5.000000	760	0.000000	0.143000	0.123938	
796	0.001256	204	0.745098	3.589195	796	0.001256	0.153000	0.133622	
824	0.006068	176	0.795455	1.818813	824	0.006068	0.145000	0.136466	
853	0.002345	147	0.877551	1.306554	853	0.002345	0.131000	0.135373	
857	0.000000	143	0.874126	0.788179	857	0.000000	0.125000	0.133644	
827	0.019347	173	0.855491	0.542563	827	0.019347	0.164000	0.137980	
816	0.015931	184	0.853261	0.540053	816	0.015931	0.170000	0.141982	
815	0.036810	185	0.870270	0.430371	815	0.036810	0.191000	0.147428	
796	0.035176	204	0.887255	0.327571	796	0.035176	0.209000	0.153585	
816	0.066176	184	0.864130	0.249343	816	0.066176	0.213000	0.158986	
826	0.100484	174	0.787356	0.206298	826	0.100484	0.220000	0.164070	
825	0.145455	175	0.822857	0.166228	825	0.145455	0.264000	0.171756	
829	0.117008	171	0.847953	0.160477	829	0.117008	0.242000	0.176773	
839	0.164482	161	0.850932	0.149015	839	0.164482	0.275000	0.183321	
819	0.266178	181	0.856354	0.077850	819	0.266178	0.373000	0.195175	
824	0.500000	176	0.863636	0.077850	824	0.500000	0.564000	0.216870	
853	0.328253	147	0.809524	0.098738	853	0.328253	0.399000	0.226987	
840	0.323810	160	0.875000	0.098738	840	0.323810	0.412000	0.236724	
813	0.277983	187	0.839572	0.098738	813	0.277983	0.383000	0.244038	
841	0.284185	159	0.867925	0.098738	841	0.284185	0.377000	0.250369	
859	0.327125	141	0.872340	0.098738	859	0.327125	0.404000	0.257352	
818	0.413203	182	0.884615	0.098738	818	0.413203	0.499000	0.267858	
825	0.183030	175	0.851429	0.141807	825	0.183030	0.300000	0.269197	
834	0.388489	166	0.885542	0.071200	834	0.388489	0.471000	0.277269	
797	0.382685	203	0.876847	0.071200	797	0.382685	0.483000	0.285181	
