Options:
Model:                           MultiState
Tree File Name:                  data/jan_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/jan_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3923769647
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2458
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-3970.837266	1	0.053918	0.059617	0.045963	0.022656	0.055375	0.074550	0.039588	0.043357	0.004923	0.071353	0.069849	0.099918	0.250000	0.250000	0.250000	0.250000	
1000	-1089.516447	1	0.000968	0.000725	0.002465	0.024781	0.019576	0.039519	0.029868	0.044248	0.010529	0.043531	0.035772	0.009107	0.133064	0.298791	0.302911	0.265234	
2000	-905.137790	1	0.000271	0.000091	0.000331	0.002580	0.044353	0.002226	0.013368	0.088476	0.009191	0.015626	0.001616	0.001365	0.224433	0.017732	0.045983	0.711852	
3000	-900.346120	1	0.000181	0.000265	0.000281	0.002125	0.029126	0.000826	0.024460	0.033458	0.009374	0.012424	0.000414	0.000652	0.175335	0.185172	0.621597	0.017897	
4000	-896.467174	1	0.000357	0.000042	0.000346	0.000293	0.023936	0.003087	0.018504	0.025281	0.007549	0.015245	0.000452	0.000187	0.263255	0.091845	0.610093	0.034807	
5000	-903.554727	1	0.000192	0.000117	0.000390	0.003232	0.043230	0.003676	0.017007	0.070266	0.000322	0.014076	0.000262	0.000094	0.374509	0.196199	0.393914	0.035378	
6000	-906.089343	1	0.000330	0.000076	0.000409	0.001311	0.024485	0.004167	0.019679	0.044178	0.001900	0.016377	0.000362	0.001748	0.291757	0.034765	0.141986	0.531492	
7000	-900.167711	1	0.000292	0.000060	0.000298	0.005016	0.016368	0.002454	0.007161	0.012370	0.008273	0.017898	0.000204	0.000137	0.455656	0.104706	0.356885	0.082753	
8000	-902.696561	1	0.000090	0.000338	0.000319	0.000388	0.062312	0.001185	0.025912	0.085557	0.008448	0.012783	0.000364	0.000696	0.235359	0.283915	0.456293	0.024433	
9000	-898.984969	1	0.000203	0.000193	0.000315	0.003050	0.053116	0.004200	0.016535	0.085152	0.003646	0.013728	0.000305	0.000022	0.499993	0.168305	0.291136	0.040566	
10000	-893.984793	1	0.000417	0.000065	0.000178	0.012337	0.008477	0.008880	0.001485	0.023227	0.000764	0.017472	0.000104	0.000130	0.221703	0.644285	0.102312	0.031700	
11000	-899.548488	1	0.000310	0.000105	0.000429	0.012071	0.014064	0.008090	0.000638	0.038784	0.000198	0.014541	0.000434	0.000532	0.399575	0.439108	0.111872	0.049445	
12000	-897.073165	1	0.000230	0.000193	0.000336	0.010374	0.003784	0.006666	0.002580	0.013469	0.001494	0.014448	0.001509	0.000020	0.507132	0.385893	0.033166	0.073809	
13000	-896.295144	1	0.000196	0.000079	0.000243	0.018393	0.004718	0.006651	0.001105	0.021257	0.001721	0.015403	0.000294	0.000405	0.033329	0.641853	0.313543	0.011276	
14000	-900.962420	1	0.000285	0.000044	0.000326	0.010705	0.051433	0.007229	0.001951	0.087221	0.000592	0.012726	0.000309	0.000511	0.599752	0.215584	0.135631	0.049034	
15000	-905.525967	1	0.000266	0.000009	0.000227	0.004630	0.066062	0.000364	0.004797	0.099456	0.009347	0.014538	0.003090	0.000318	0.148375	0.006806	0.023030	0.821789	
16000	-907.288080	1	0.000250	0.000082	0.000165	0.004219	0.018209	0.005929	0.003946	0.028027	0.008848	0.016889	0.003106	0.000390	0.091180	0.024743	0.034842	0.849235	
17000	-899.514609	1	0.000231	0.000259	0.000154	0.008625	0.040959	0.000704	0.000660	0.066513	0.016257	0.015650	0.000058	0.000179	0.764319	0.098199	0.060629	0.076853	
18000	-896.884177	1	0.000251	0.000119	0.000233	0.002851	0.030662	0.002451	0.016245	0.050119	0.008474	0.014940	0.000027	0.000100	0.429532	0.131191	0.399865	0.039411	
19000	-900.446718	1	0.000353	0.000156	0.000254	0.002079	0.049741	0.000820	0.015995	0.092470	0.018843	0.017391	0.000059	0.000106	0.587895	0.113814	0.224869	0.073422	
20000	-900.277314	1	0.000104	0.000170	0.000271	0.000848	0.017916	0.002383	0.029314	0.013890	0.010033	0.017225	0.000032	0.000329	0.022882	0.233222	0.738240	0.005657	
21000	-902.357492	1	0.000260	0.000098	0.000453	0.000882	0.018221	0.000050	0.013336	0.013657	0.010053	0.014015	0.000429	0.001836	0.387648	0.034788	0.433062	0.144501	
22000	-902.916934	1	0.000290	0.000147	0.000176	0.000485	0.042634	0.000038	0.015573	0.056817	0.017809	0.021068	0.000197	0.000220	0.330811	0.149507	0.422656	0.097027	
23000	-897.508056	1	0.000210	0.000065	0.000202	0.001991	0.027097	0.000098	0.017028	0.030978	0.018152	0.015476	0.000172	0.000152	0.200016	0.157644	0.616302	0.026037	
24000	-901.199857	1	0.000082	0.000204	0.000276	0.003585	0.028869	0.000162	0.020451	0.038269	0.015390	0.014346	0.000301	0.001139	0.101012	0.257680	0.611677	0.029631	
25000	-901.630864	1	0.000208	0.000083	0.000318	0.001247	0.035603	0.000270	0.021514	0.056883	0.010213	0.012625	0.000296	0.001244	0.332998	0.140129	0.476492	0.050381	
