Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1	0.000000	0.277889	1	0.000000	0.000000	0.000000	
1000	0.184000	0.277889	1001	0.183816	0.184000	0.183816	
1000	0.611000	0.177013	1000	0.611000	0.611000	0.397301	
1000	0.572000	0.241050	1000	0.572000	0.572000	0.455515	
1000	0.413000	0.379861	1000	0.413000	0.413000	0.444889	
1000	0.281000	0.435687	1000	0.281000	0.281000	0.412118	
1000	0.307000	0.435687	1000	0.307000	0.307000	0.394601	
1000	0.355000	0.435687	1000	0.355000	0.355000	0.388944	
1000	0.352000	0.435687	1000	0.352000	0.352000	0.384327	
1000	0.328000	0.435687	1000	0.328000	0.328000	0.378069	
1000	0.369000	0.435687	1000	0.369000	0.369000	0.377162	
1000	0.361000	0.435687	1000	0.361000	0.361000	0.375693	
1000	0.362000	0.435687	1000	0.362000	0.362000	0.374552	
1000	0.308000	0.435687	1000	0.308000	0.308000	0.369433	
1000	0.326000	0.435687	1000	0.326000	0.326000	0.366331	
1000	0.270000	0.435687	1000	0.270000	0.270000	0.359909	
1000	0.346000	0.435687	1000	0.346000	0.346000	0.359040	
1000	0.344000	0.435687	1000	0.344000	0.344000	0.358155	
1000	0.316000	0.435687	1000	0.316000	0.316000	0.355814	
1000	0.319000	0.435687	1000	0.319000	0.319000	0.353876	
1000	0.344000	0.435687	1000	0.344000	0.344000	0.353382	
1000	0.324000	0.435687	1000	0.324000	0.324000	0.351983	
1000	0.313000	0.435687	1000	0.313000	0.313000	0.350211	
1000	0.345000	0.435687	1000	0.345000	0.345000	0.349985	
1000	0.323000	0.435687	1000	0.323000	0.323000	0.348860	
1000	0.324000	0.435687	1000	0.324000	0.324000	0.347866	
1000	0.273000	0.435687	1000	0.273000	0.273000	0.344987	
1000	0.353000	0.435687	1000	0.353000	0.353000	0.345284	
1000	0.306000	0.435687	1000	0.306000	0.306000	0.343881	
1000	0.311000	0.435687	1000	0.311000	0.311000	0.342747	
