Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            643823919
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-2955.920393	1	0.024570	0.026884	0.070617	0.016509	0.059090	0.078841	0.007184	0.042725	0.059535	0.091594	0.094578	0.008586	0.250003	0.249999	0.249997	0.250002	
1000	-807.562906	1	0.000284	0.000275	0.000628	0.008346	0.039371	0.003120	0.002793	0.070122	0.016222	0.026564	0.001202	0.001037	0.176216	0.216735	0.263486	0.343563	
2000	-808.509675	1	0.000077	0.000403	0.000524	0.009849	0.027802	0.003895	0.012400	0.066558	0.028130	0.027187	0.000614	0.001987	0.004139	0.357030	0.627132	0.011699	
3000	-807.373434	1	0.000540	0.000201	0.000488	0.008145	0.047752	0.009487	0.006148	0.083284	0.016894	0.030397	0.000059	0.001614	0.027150	0.441610	0.504154	0.027086	
4000	-804.619350	1	0.000288	0.000366	0.000280	0.001252	0.042399	0.001476	0.021951	0.072437	0.018950	0.018911	0.000398	0.000231	0.162616	0.061687	0.768881	0.006817	
5000	-805.443736	1	0.000073	0.000343	0.000278	0.005455	0.045439	0.002493	0.007140	0.093379	0.032770	0.030294	0.000813	0.002190	0.008135	0.179401	0.741917	0.070548	
6000	-801.765469	1	0.000260	0.000246	0.000328	0.005607	0.021262	0.007890	0.022697	0.039296	0.009462	0.023418	0.000057	0.000306	0.005915	0.189884	0.803003	0.001197	
7000	-801.937483	1	0.000278	0.000142	0.000461	0.004415	0.023378	0.000538	0.019514	0.018393	0.018908	0.021978	0.001076	0.000720	0.006423	0.089581	0.898966	0.005029	
8000	-809.723383	1	0.000242	0.000771	0.000238	0.002193	0.033292	0.005160	0.006469	0.068809	0.038738	0.034199	0.000283	0.000299	0.053662	0.106913	0.822292	0.017133	
9000	-801.908574	1	0.000383	0.000095	0.000350	0.006335	0.019510	0.003036	0.006048	0.010037	0.024633	0.030683	0.000813	0.000570	0.016837	0.465181	0.490185	0.027797	
10000	-800.568723	1	0.000299	0.000119	0.000263	0.007117	0.015155	0.001555	0.015680	0.021257	0.018683	0.025014	0.000110	0.000564	0.002760	0.070935	0.923886	0.002419	
11000	-801.033661	1	0.000421	0.000008	0.000179	0.001470	0.050916	0.000983	0.019596	0.066157	0.022427	0.028737	0.000394	0.001096	0.002487	0.145574	0.840791	0.011148	
12000	-801.726966	1	0.000394	0.000020	0.000510	0.000577	0.062589	0.004565	0.021458	0.081298	0.015424	0.022800	0.000321	0.000891	0.010136	0.161469	0.821549	0.006846	
13000	-802.644281	1	0.000139	0.000120	0.000256	0.000140	0.048235	0.001122	0.020864	0.065689	0.025881	0.024359	0.001360	0.000811	0.001901	0.111667	0.872039	0.014394	
14000	-801.850841	1	0.000347	0.000015	0.000423	0.006522	0.065811	0.003856	0.012106	0.098362	0.015796	0.023544	0.000547	0.000643	0.008705	0.339360	0.644565	0.007369	
15000	-803.170941	1	0.000099	0.000159	0.000334	0.004939	0.022461	0.001730	0.022770	0.025592	0.020929	0.027311	0.000520	0.000375	0.000639	0.339238	0.658405	0.001718	
