Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1	0.000000	1.378314	1	0.000000	0.000000	0.000000	
1000	0.043000	1.378314	1001	0.042957	0.043000	0.042957	
1000	0.037000	1.102094	1000	0.037000	0.037000	0.039980	
1000	0.197000	0.621829	1000	0.197000	0.197000	0.092303	
1000	0.345000	0.363899	1000	0.345000	0.345000	0.155461	
1000	0.350000	0.363899	1000	0.350000	0.350000	0.194361	
1000	0.376000	0.363899	1000	0.376000	0.376000	0.224629	
1000	0.411000	0.363899	1000	0.411000	0.411000	0.251250	
1000	0.209000	0.595461	1000	0.209000	0.209000	0.245969	
1000	0.217000	0.595461	1000	0.217000	0.217000	0.242751	
1000	0.235000	0.595461	1000	0.235000	0.235000	0.241976	
1000	0.208000	0.595461	1000	0.208000	0.208000	0.238887	
1000	0.176000	0.595461	1000	0.176000	0.176000	0.233647	
1000	0.258000	0.508591	1000	0.258000	0.258000	0.235520	
1000	0.210000	0.508591	1000	0.210000	0.210000	0.233698	
1000	0.270000	0.508591	1000	0.270000	0.270000	0.236118	
1000	0.251000	0.508591	1000	0.251000	0.251000	0.237048	
1000	0.272000	0.508591	1000	0.272000	0.272000	0.239104	
1000	0.258000	0.508591	1000	0.258000	0.258000	0.240153	
1000	0.275000	0.508591	1000	0.275000	0.275000	0.241987	
1000	0.283000	0.508591	1000	0.283000	0.283000	0.244038	
1000	0.220000	0.508591	1000	0.220000	0.220000	0.242893	
1000	0.270000	0.508591	1000	0.270000	0.270000	0.244125	
1000	0.222000	0.508591	1000	0.222000	0.222000	0.243163	
1000	0.210000	0.508591	1000	0.210000	0.210000	0.241782	
1000	0.237000	0.508591	1000	0.237000	0.237000	0.241590	
1000	0.259000	0.508591	1000	0.259000	0.259000	0.242260	
1000	0.255000	0.508591	1000	0.255000	0.255000	0.242732	
1000	0.266000	0.508591	1000	0.266000	0.266000	0.243563	
1000	0.255000	0.508591	1000	0.255000	0.255000	0.243957	
1000	0.202000	0.508591	1000	0.202000	0.202000	0.242559	
1000	0.208000	0.508591	1000	0.208000	0.208000	0.241444	
1000	0.237000	0.508591	1000	0.237000	0.237000	0.241305	
1000	0.247000	0.508591	1000	0.247000	0.247000	0.241478	
1000	0.290000	0.508591	1000	0.290000	0.290000	0.242905	
1000	0.294000	0.508591	1000	0.294000	0.294000	0.244364	
1000	0.239000	0.508591	1000	0.239000	0.239000	0.244215	
1000	0.237000	0.508591	1000	0.237000	0.237000	0.244020	
1000	0.222000	0.508591	1000	0.222000	0.222000	0.243441	
1000	0.282000	0.508591	1000	0.282000	0.282000	0.244430	
1000	0.233000	0.508591	1000	0.233000	0.233000	0.244144	
1000	0.333000	0.508591	1000	0.333000	0.333000	0.246311	
1000	0.234000	0.508591	1000	0.234000	0.234000	0.246018	
1000	0.286000	0.508591	1000	0.286000	0.286000	0.246948	
1000	0.271000	0.508591	1000	0.271000	0.271000	0.247494	
1000	0.229000	0.508591	1000	0.229000	0.229000	0.247083	
1000	0.228000	0.508591	1000	0.228000	0.228000	0.246669	
1000	0.226000	0.508591	1000	0.226000	0.226000	0.246229	
1000	0.273000	0.508591	1000	0.273000	0.273000	0.246787	
1000	0.263000	0.508591	1000	0.263000	0.263000	0.247117	
1000	0.231000	0.508591	1000	0.231000	0.231000	0.246795	
1000	0.212000	0.508591	1000	0.212000	0.212000	0.246113	
1000	0.252000	0.508591	1000	0.252000	0.252000	0.246226	
1000	0.283000	0.508591	1000	0.283000	0.283000	0.246920	
1000	0.241000	0.508591	1000	0.241000	0.241000	0.246810	
1000	0.284000	0.508591	1000	0.284000	0.284000	0.247486	
1000	0.289000	0.508591	1000	0.289000	0.289000	0.248228	
1000	0.207000	0.508591	1000	0.207000	0.207000	0.247504	
1000	0.249000	0.508591	1000	0.249000	0.249000	0.247530	
1000	0.250000	0.508591	1000	0.250000	0.250000	0.247572	
1000	0.278000	0.508591	1000	0.278000	0.278000	0.248079	
1000	0.275000	0.508591	1000	0.275000	0.275000	0.248521	
1000	0.292000	0.508591	1000	0.292000	0.292000	0.249222	
1000	0.259000	0.508591	1000	0.259000	0.259000	0.249377	
1000	0.297000	0.508591	1000	0.297000	0.297000	0.250121	
1000	0.253000	0.508591	1000	0.253000	0.253000	0.250165	
1000	0.279000	0.508591	1000	0.279000	0.279000	0.250602	
1000	0.250000	0.508591	1000	0.250000	0.250000	0.250593	
1000	0.337000	0.508591	1000	0.337000	0.337000	0.251864	
1000	0.288000	0.508591	1000	0.288000	0.288000	0.252388	
1000	0.242000	0.508591	1000	0.242000	0.242000	0.252239	
1000	0.236000	0.508591	1000	0.236000	0.236000	0.252011	
1000	0.209000	0.508591	1000	0.209000	0.209000	0.251413	
1000	0.252000	0.508591	1000	0.252000	0.252000	0.251421	
1000	0.246000	0.508591	1000	0.246000	0.246000	0.251348	
1000	0.277000	0.508591	1000	0.277000	0.277000	0.251690	
1000	0.237000	0.508591	1000	0.237000	0.237000	0.251497	
1000	0.244000	0.508591	1000	0.244000	0.244000	0.251399	
1000	0.274000	0.508591	1000	0.274000	0.274000	0.251689	
1000	0.278000	0.508591	1000	0.278000	0.278000	0.252022	
1000	0.280000	0.508591	1000	0.280000	0.280000	0.252372	
1000	0.279000	0.508591	1000	0.279000	0.279000	0.252701	
1000	0.271000	0.508591	1000	0.271000	0.271000	0.252924	
1000	0.238000	0.508591	1000	0.238000	0.238000	0.252744	
1000	0.269000	0.508591	1000	0.269000	0.269000	0.252937	
1000	0.222000	0.508591	1000	0.222000	0.222000	0.252573	
1000	0.221000	0.508591	1000	0.221000	0.221000	0.252206	
1000	0.273000	0.508591	1000	0.273000	0.273000	0.252445	
1000	0.284000	0.508591	1000	0.284000	0.284000	0.252804	
1000	0.227000	0.508591	1000	0.227000	0.227000	0.252514	
1000	0.230000	0.508591	1000	0.230000	0.230000	0.252264	
1000	0.227000	0.508591	1000	0.227000	0.227000	0.251986	
1000	0.221000	0.508591	1000	0.221000	0.221000	0.251649	
1000	0.204000	0.508591	1000	0.204000	0.204000	0.251137	
1000	0.227000	0.508591	1000	0.227000	0.227000	0.250880	
1000	0.256000	0.508591	1000	0.256000	0.256000	0.250934	
1000	0.261000	0.508591	1000	0.261000	0.261000	0.251039	
1000	0.246000	0.508591	1000	0.246000	0.246000	0.250987	
1000	0.227000	0.508591	1000	0.227000	0.227000	0.250742	
1000	0.273000	0.508591	1000	0.273000	0.273000	0.250967	
1000	0.268000	0.508591	1000	0.268000	0.268000	0.251137	
1000	0.210000	0.508591	1000	0.210000	0.210000	0.250730	
1000	0.278000	0.508591	1000	0.278000	0.278000	0.250998	
1000	0.241000	0.508591	1000	0.241000	0.241000	0.250900	
1000	0.273000	0.508591	1000	0.273000	0.273000	0.251113	
1000	0.263000	0.508591	1000	0.263000	0.263000	0.251226	
1000	0.284000	0.508591	1000	0.284000	0.284000	0.251535	
1000	0.235000	0.508591	1000	0.235000	0.235000	0.251381	
1000	0.210000	0.508591	1000	0.210000	0.210000	0.250998	
1000	0.292000	0.508591	1000	0.292000	0.292000	0.251374	
1000	0.244000	0.508591	1000	0.244000	0.244000	0.251307	
1000	0.249000	0.508591	1000	0.249000	0.249000	0.251286	
1000	0.294000	0.508591	1000	0.294000	0.294000	0.251667	
1000	0.275000	0.508591	1000	0.275000	0.275000	0.251874	
1000	0.260000	0.508591	1000	0.260000	0.260000	0.251945	
1000	0.297000	0.508591	1000	0.297000	0.297000	0.252337	
1000	0.296000	0.508591	1000	0.296000	0.296000	0.252713	
1000	0.266000	0.508591	1000	0.266000	0.266000	0.252827	
1000	0.223000	0.508591	1000	0.223000	0.223000	0.252574	
1000	0.238000	0.508591	1000	0.238000	0.238000	0.252452	
1000	0.289000	0.508591	1000	0.289000	0.289000	0.252756	
1000	0.267000	0.508591	1000	0.267000	0.267000	0.252874	
1000	0.299000	0.508591	1000	0.299000	0.299000	0.253252	
1000	0.320000	0.508591	1000	0.320000	0.320000	0.253795	
1000	0.310000	0.508591	1000	0.310000	0.310000	0.254248	
1000	0.291000	0.508591	1000	0.291000	0.291000	0.254542	
1000	0.280000	0.508591	1000	0.280000	0.280000	0.254744	
1000	0.208000	0.508591	1000	0.208000	0.208000	0.254376	
1000	0.235000	0.508591	1000	0.235000	0.235000	0.254225	
1000	0.233000	0.508591	1000	0.233000	0.233000	0.254060	
1000	0.251000	0.508591	1000	0.251000	0.251000	0.254037	
1000	0.276000	0.508591	1000	0.276000	0.276000	0.254204	
1000	0.237000	0.508591	1000	0.237000	0.237000	0.254074	
1000	0.292000	0.508591	1000	0.292000	0.292000	0.254359	
1000	0.272000	0.508591	1000	0.272000	0.272000	0.254491	
1000	0.233000	0.508591	1000	0.233000	0.233000	0.254331	
1000	0.206000	0.508591	1000	0.206000	0.206000	0.253976	
1000	0.217000	0.508591	1000	0.217000	0.217000	0.253706	
1000	0.293000	0.508591	1000	0.293000	0.293000	0.253991	
1000	0.242000	0.508591	1000	0.242000	0.242000	0.253905	
1000	0.272000	0.508591	1000	0.272000	0.272000	0.254034	
1000	0.241000	0.508591	1000	0.241000	0.241000	0.253941	
1000	0.241000	0.508591	1000	0.241000	0.241000	0.253850	
1000	0.228000	0.508591	1000	0.228000	0.228000	0.253670	
1000	0.230000	0.508591	1000	0.230000	0.230000	0.253505	
1000	0.233000	0.508591	1000	0.233000	0.233000	0.253364	
1000	0.294000	0.508591	1000	0.294000	0.294000	0.253642	
1000	0.320000	0.508591	1000	0.320000	0.320000	0.254094	
1000	0.272000	0.508591	1000	0.272000	0.272000	0.254214	
1000	0.276000	0.508591	1000	0.276000	0.276000	0.254361	
1000	0.278000	0.508591	1000	0.278000	0.278000	0.254518	
1000	0.241000	0.508591	1000	0.241000	0.241000	0.254429	
1000	0.286000	0.508591	1000	0.286000	0.286000	0.254636	
1000	0.283000	0.508591	1000	0.283000	0.283000	0.254822	
1000	0.262000	0.508591	1000	0.262000	0.262000	0.254868	
1000	0.217000	0.508591	1000	0.217000	0.217000	0.254624	
1000	0.251000	0.508591	1000	0.251000	0.251000	0.254601	
1000	0.258000	0.508591	1000	0.258000	0.258000	0.254623	
1000	0.303000	0.508591	1000	0.303000	0.303000	0.254929	
1000	0.277000	0.508591	1000	0.277000	0.277000	0.255068	
1000	0.277000	0.508591	1000	0.277000	0.277000	0.255205	
1000	0.292000	0.508591	1000	0.292000	0.292000	0.255433	
