q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.000249,2.6e-05,0.000129,0.004498,0.024846,0.003518,0.010432,0.023846,0.021185,0.029652,0.001433,0.000359
0.000384,0.000268,0.000269,0.002337,0.041356,0.008843,0.01461,0.031714,0.015778,0.029134,0.001158,0.001202
0.000214,0.000232,0.000591,0.006877,0.050982,0.000629,0.01324,0.075804,0.017788,0.029418,0.000152,0.000269
0.000377,0.000215,0.000552,0.001666,0.056645,0.003153,0.019631,0.067382,0.011799,0.02675,2.6e-05,0.001634
0.000136,0.000346,0.000125,0.001326,0.056363,0.002924,0.018805,0.09486,0.030338,0.027991,0.000102,0.001261
0.000256,0.000267,0.000496,0.002181,0.02461,0.002963,0.011752,0.035003,0.029035,0.031926,2.7e-05,0.000422
0.00025,0.000187,0.000717,0.001321,0.057864,0.006685,0.012332,0.085362,0.017458,0.026559,0.000214,0.000266
0.00032,9.7e-05,0.000327,0.003286,0.074461,0.001355,0.017909,0.086598,0.021832,0.027827,0.000531,0.002802
0.000214,0.000132,0.000479,0.00038,0.026549,0.004113,0.031442,0.03206,0.01747,0.020407,0.000262,0.001692
0.000221,0.000171,0.000212,0.011327,0.02712,0.000721,0.007954,0.033311,0.023799,0.025594,0.000738,0.000479
7.6e-05,0.000506,0.000762,0.000807,0.041801,0.001983,0.02549,0.088643,0.029993,0.026859,0.000289,0.004011
0.000388,8.4e-05,0.000292,0.009825,0.04569,0.005073,0.003559,0.061462,0.01947,0.029851,0.000246,0.000612
0.000477,2.3e-05,0.000354,0.00971,0.031642,0.001569,0.018765,0.03808,0.02521,0.027136,0.000802,0.000132
0.000321,0.000344,0.000257,0.000197,0.045896,0.001069,0.02912,0.053701,0.022322,0.027818,0.000162,0.000165
0.000318,4.8e-05,0.00026,0.002762,0.050233,0.006934,0.016491,0.087176,0.013435,0.027837,2.9e-05,0.000903
0.00022,9.4e-05,0.000521,0.001024,0.036348,0.004057,0.045173,0.075012,0.032926,0.029208,0.000124,0.003352
0.00032,7.1e-05,0.000252,0.00017,0.066053,0.01232,0.02742,0.088415,0.00205,0.02261,0.001569,0.000686
0.000448,4e-05,0.000126,1.5e-05,0.050351,0.001246,0.025624,0.064797,0.018608,0.025363,0.001041,9.3e-05
0.000505,0.000106,0.000362,0.000858,0.06245,0.004856,0.027495,0.074346,0.011409,0.02249,0.000775,0.000418
0.000263,0.000155,0.000368,0.003647,0.030269,0.000511,0.012019,0.031712,0.030575,0.032421,0.000746,0.000512
3.4e-05,0.000409,0.000461,0.009207,0.018376,0.005258,0.0099,0.045974,0.012348,0.023951,0.000646,5.8e-05
5.9e-05,0.000555,0.000279,0.000928,0.069726,0.006631,0.011642,0.096548,0.017891,0.030117,3e-05,0.000319
0.000183,0.000354,0.00066,0.009172,0.047084,0.006642,0.009854,0.074627,0.009079,0.024473,0.000501,0.000932
0.000362,0.000222,0.000264,0.010655,0.027226,0.000892,0.006091,0.052261,0.026297,0.024201,0.000672,5.1e-05
0.000135,0.000267,0.000281,0.005568,0.02812,0.011818,0.010442,0.056402,0.002126,0.028351,0.000189,2.2e-05
0.000563,0.000123,0.000415,0.004474,0.025206,0.005005,0.021345,0.04696,0.012904,0.026946,0.00019,0.000303
0.000273,0.000281,0.000432,0.003573,0.038683,0.001749,0.013162,0.063255,0.026513,0.0279,0.002176,0.001157
0.00044,1e-05,0.000481,0.000421,0.027945,0.005469,0.011092,0.036218,0.020163,0.03094,0.000305,0.000689
0.000415,2e-06,0.000418,0.00012,0.040505,0.002542,0.040406,0.077907,0.029199,0.02556,0.000553,0.000368
0.000395,1e-05,0.000247,0.007145,0.035311,0.003466,0.009069,0.049776,0.025275,0.030095,0.002292,3e-05
0.00018,0.000113,0.00052,0.001465,0.029874,0.000986,0.010211,0.019045,0.045473,0.036184,0.00241,0.00091
0.00033,0.00026,0.000713,0.008191,0.047999,0.001443,0.024388,0.08547,0.014088,0.018602,0.000854,0.00251
0.000284,0.00021,0.000247,0.001624,0.035941,0.002483,0.018823,0.042099,0.022043,0.024393,0.001984,0.001543
6.2e-05,0.000651,0.000204,0.008703,0.00906,0.00782,0.015886,0.029325,0.009079,0.021985,0.000567,2.2e-05
0.00014,0.000322,0.000421,0.001709,0.033311,0.00313,0.025442,0.047354,0.022746,0.028811,0.000766,0.002034
0.000273,0.000268,0.000271,3.7e-05,0.048598,0.006826,0.026888,0.073413,0.024526,0.027964,0.000905,0.000143
0.000403,1.2e-05,0.000771,3.2e-05,0.068019,0.001883,0.027431,0.095826,0.014021,0.023745,0.000645,0.002384
0.000235,5.5e-05,0.000342,0.002638,0.018172,0.018398,0.014249,0.035438,0.014522,0.022924,0.001996,0.004479
0.00034,0.000362,0.000465,0.001839,0.040865,0.002705,0.021472,0.057439,0.014706,0.022778,0.000192,5.9e-05
0.000205,0.00049,0.00027,0.000687,0.045353,0.00073,0.028792,0.084244,0.038578,0.027724,0.000547,0.000846
0.000282,3.6e-05,0.000301,0.003786,0.039592,0.012299,0.013654,0.053897,0.008029,0.027448,0.000518,0.000951
0.000453,0.000171,0.00032,0.001225,0.031539,0.002036,0.014781,0.035265,0.035346,0.027032,0.000528,3.9e-05
0.000178,9.9e-05,0.0004,2.4e-05,0.034227,0.000603,0.026734,0.040294,0.035092,0.029636,0.000309,0.001792
1.7e-05,0.000591,0.000293,1e-06,0.061821,0.004114,0.014732,0.092215,0.024302,0.02961,0.000178,0.000864
0.000345,7.7e-05,0.00045,0.000197,0.028114,0.000537,0.025446,0.035311,0.024509,0.025491,0.001656,0.001454
0.000137,0.000379,0.000508,6e-06,0.03294,0.00203,0.017167,0.03119,0.031207,0.029011,0.000833,0.000702
0.000194,0.000463,0.000498,0.000181,0.046073,0.008995,0.025686,0.091534,0.018774,0.026124,0.000228,0.001314
0.000186,0.000212,0.000235,0.007075,0.03806,0.002142,0.013621,0.047736,0.019996,0.024221,7.1e-05,0.000139
0.000579,6.5e-05,0.000601,0.000101,0.034344,0.010627,0.027333,0.058635,0.001144,0.029527,0.00031,0.000766
0.00017,0.000225,0.000228,0.002497,0.028509,0.007804,0.027131,0.037025,0.008,0.024684,0.001982,0.000722
0.00022,1.3e-05,0.000303,0.000523,0.051495,0.0031,0.02142,0.058424,0.016535,0.026912,0.000504,0.000549
0.000353,0.000226,0.000443,0.000555,0.027753,0.005863,0.0241,0.043192,0.016641,0.026208,2.9e-05,0.000164
0.000301,0.000264,0.00023,0.001223,0.0383,0.000524,0.021087,0.035546,0.035134,0.031789,5.8e-05,0.000256
0.000149,0.00033,0.000464,0.005455,0.038121,0.00425,0.018783,0.075901,0.01037,0.022603,0.000467,0.000602
6.1e-05,0.000281,0.000546,5.5e-05,0.065344,0.001099,0.033513,0.082795,0.016599,0.028142,0.000891,0.000747
0.000229,0.00019,0.000194,0.000126,0.055395,0.00044,0.019609,0.088759,0.031024,0.026546,0.001748,0.000124
0.000102,0.00025,0.00046,0.002671,0.035022,0.004675,0.02035,0.060463,0.014103,0.027062,0.000273,0.00097
0.000266,0.000193,0.000403,0.004712,0.016167,0.006567,0.009654,0.031527,0.013261,0.025997,0.000411,0.000544
9.6e-05,0.000596,0.000365,0.001325,0.040952,0.004904,0.021918,0.061272,0.009757,0.02201,0.000128,0.0013
0.000395,0.000318,0.00041,0.007333,0.027342,0.007869,0.016017,0.059354,0.010462,0.028823,0.000435,0.000182
0.000173,0.000344,0.00039,0.009604,0.017384,0.006651,0.008519,0.036327,0.009937,0.025241,0.000315,0.000393
0.00019,0.000147,0.000522,0.004798,0.022895,0.010617,0.017869,0.043543,0.001411,0.023388,0.002508,0.000635
0.000245,0.000139,0.00026,0.008581,0.011967,0.005332,0.007629,0.009996,0.016363,0.026673,0.000271,2.2e-05
0.00027,0.000124,0.000286,0.00545,0.02998,0.001829,0.002722,0.034627,0.020715,0.026429,0.00109,7e-06
7.7e-05,0.000597,0.000324,0.005662,0.027395,0.000341,0.012413,0.060503,0.040058,0.02958,0.000537,9.2e-05
0.000206,0.000369,0.00041,0.009428,0.067186,0.005389,0.006191,0.083198,0.023772,0.027644,0.001407,0.001691
0.000367,0.000309,0.000416,0.003202,0.032797,0.007739,0.017123,0.073427,0.009401,0.024086,0.000849,0.000724
0.00035,0.000176,0.000312,0.001762,0.027775,0.005721,0.015155,0.058836,0.027829,0.029035,0.000271,0.001243
0.000387,0.000181,0.000459,0.000926,0.028083,0.004925,0.01303,0.042744,0.026829,0.028142,0.000108,0.00059
0.000183,0.000256,0.000596,0.000769,0.03112,0.006088,0.019172,0.048499,0.016116,0.026791,0.000732,0.000968
0.000435,4.3e-05,0.000419,0.010948,0.017325,0.008016,0.004422,0.027301,0.009322,0.028575,0.0004,0.000962
0.000318,0.000269,0.000293,0.003745,0.010981,0.008629,0.012854,0.014559,0.008929,0.029248,9.7e-05,0.000775
0.000231,0.000176,0.000275,0.004138,0.082962,0.000283,0.015484,0.096791,0.021506,0.029558,0.000291,7.3e-05
0.000205,0.000154,0.000327,0.007911,0.047301,0.002691,0.0083,0.078162,0.02642,0.03046,0.000871,0.000874
0.000252,0.00025,0.00039,0.00691,0.058625,0.000554,0.006854,0.085962,0.031116,0.024785,0.001742,0.000234
0.000178,0.000156,0.00031,0.001142,0.032588,0.002565,0.02179,0.028827,0.023191,0.030457,0.00073,0.001656
0.000477,8.8e-05,0.000315,0.00114,0.028319,0.001572,0.017758,0.028218,0.019403,0.027426,0.000839,5.3e-05
0.00012,0.000436,0.000205,0.000469,0.047326,0.003,0.024341,0.088086,0.033776,0.028014,0.000356,0.000287
0.000274,0.000121,0.000393,0.000185,0.046901,0.003025,0.022591,0.064166,0.02453,0.027781,0.001938,0.000248
0.000309,3.8e-05,0.000175,0.002884,0.051866,2.6e-05,0.016858,0.064673,0.021765,0.023473,0.000782,0.001431
0.000425,0.000247,0.000339,4.3e-05,0.048564,0.001338,0.013684,0.05726,0.033536,0.03019,0.001289,0.000371
0.000165,0.000177,0.000469,0.001465,0.045989,0.007999,0.019117,0.079026,0.019591,0.028236,0.000924,0.000205
7.8e-05,0.000395,0.000397,0.001438,0.053564,0.001561,0.030359,0.092232,0.024041,0.028813,0.000314,0.00035
0.000491,8.1e-05,0.000549,0.002114,0.029293,0.001528,0.01937,0.03115,0.02707,0.029271,0.00012,0.002051
0.000237,0.000344,0.000209,0.002347,0.031558,0.000918,0.014847,0.036949,0.022966,0.024388,0.00136,0.000163
