Options:
Model:                           MultiState
Tree File Name:                  data/geeta_phylo_geeta_class.tre
Data File Name:                  data/geeta_phylo_geeta_class.txt
Log File Name:                   data/geeta_phylo_geeta_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            505047182
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/geeta_phylo_geeta_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      99
     Taxa:                       561
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-515.890108	1	0.001094	0.074665	0.057406	0.055311	0.039944	0.021302	0.065568	0.037050	0.025584	0.067516	0.022798	0.039108	0.999991	0.000008	0.000000	0.000000	
1000	-516.211940	18	0.001094	0.074665	0.057406	0.055311	0.039944	0.021302	0.065568	0.037050	0.025584	0.067516	0.022798	0.039108	0.999990	0.000009	0.000000	0.000000	
2000	-504.242625	95	0.006142	0.007466	0.066186	0.034349	0.066824	0.038923	0.012947	0.077842	0.017527	0.068002	0.010642	0.006264	0.999999	0.000000	0.000000	0.000000	
3000	-449.742212	29	0.054012	0.022843	0.094657	0.083680	0.059202	0.099542	0.030144	0.017772	0.015598	0.047353	0.001170	0.006493	0.999998	0.000001	0.000000	0.000000	
4000	-437.351605	79	0.096286	0.082408	0.075677	0.011503	0.016015	0.033168	0.047769	0.019678	0.076459	0.086768	0.000796	0.023444	0.999999	0.000000	0.000000	0.000001	
5000	-433.310983	46	0.087029	0.051755	0.097453	0.004715	0.002623	0.028829	0.067378	0.011931	0.059516	0.078504	0.001143	0.099945	0.999999	0.000000	0.000000	0.000001	
6000	-431.320300	10	0.096275	0.074352	0.093514	0.005742	0.003511	0.026480	0.038119	0.006554	0.081996	0.063380	0.000732	0.093721	1.000000	0.000000	0.000000	0.000000	
7000	-431.123859	40	0.096451	0.050535	0.095429	0.002153	0.026787	0.048182	0.022054	0.007836	0.055811	0.096815	0.003939	0.090942	0.999999	0.000000	0.000000	0.000001	
8000	-427.939125	29	0.090642	0.096678	0.097745	0.004077	0.017502	0.054125	0.015249	0.008182	0.068990	0.084372	0.009158	0.091774	0.999999	0.000000	0.000000	0.000001	
9000	-427.971409	33	0.096498	0.094348	0.099826	0.003664	0.017828	0.075065	0.020806	0.010604	0.090949	0.051324	0.004481	0.029989	1.000000	0.000000	0.000000	0.000000	
10000	-427.769025	51	0.096893	0.097974	0.094150	0.004361	0.030734	0.096365	0.091231	0.007064	0.079647	0.073687	0.001832	0.080960	0.999999	0.000000	0.000001	0.000000	
11000	-425.577717	90	0.098834	0.095284	0.098970	0.002932	0.031658	0.087401	0.078016	0.002760	0.080209	0.088496	0.001809	0.092832	0.999999	0.000000	0.000001	0.000001	
12000	-429.209696	3	0.092351	0.084794	0.095490	0.002994	0.062596	0.093486	0.045535	0.003535	0.051733	0.094505	0.003649	0.043325	0.999999	0.000000	0.000000	0.000001	
13000	-431.698606	77	0.084753	0.082751	0.096902	0.002626	0.059208	0.075136	0.053189	0.004289	0.022331	0.099162	0.003372	0.020733	0.999999	0.000000	0.000000	0.000001	
14000	-433.166387	60	0.096033	0.055875	0.092462	0.002713	0.070544	0.052740	0.045019	0.005387	0.004046	0.089832	0.005955	0.024544	0.999999	0.000000	0.000000	0.000001	
15000	-430.567886	27	0.096510	0.069763	0.099384	0.002210	0.061842	0.065118	0.012885	0.001433	0.007641	0.049945	0.007569	0.031296	1.000000	0.000000	0.000000	0.000000	
16000	-432.915307	29	0.099500	0.069749	0.088498	0.002205	0.050081	0.092500	0.006620	0.001964	0.007954	0.040364	0.005021	0.041905	1.000000	0.000000	0.000000	0.000000	
17000	-427.542443	52	0.098113	0.088643	0.099032	0.001498	0.096977	0.054461	0.001261	0.001446	0.010080	0.073270	0.004612	0.087594	1.000000	0.000000	0.000000	0.000000	
18000	-431.572259	31	0.097106	0.053876	0.097720	0.001871	0.092745	0.036069	0.000808	0.005160	0.008582	0.084861	0.007334	0.066656	0.999999	0.000000	0.000000	0.000001	
19000	-428.410283	24	0.092829	0.099826	0.099406	0.003506	0.094480	0.023612	0.000888	0.005599	0.007277	0.064815	0.010613	0.084863	1.000000	0.000000	0.000000	0.000000	
20000	-427.972210	23	0.099024	0.077805	0.099849	0.002642	0.098200	0.037105	0.000433	0.008436	0.007405	0.096957	0.005393	0.095889	0.999999	0.000000	0.000000	0.000001	
21000	-430.841071	97	0.092321	0.098383	0.091702	0.002250	0.094705	0.044862	0.000502	0.007223	0.008678	0.056920	0.005585	0.095947	1.000000	0.000000	0.000000	0.000000	
22000	-431.829667	85	0.087120	0.056169	0.098700	0.002325	0.073573	0.040903	0.000556	0.007929	0.008503	0.095134	0.016606	0.095843	0.999999	0.000000	0.000000	0.000001	
23000	-428.947264	21	0.099982	0.068657	0.096620	0.002419	0.068753	0.093990	0.001015	0.014762	0.016546	0.092390	0.010209	0.045370	0.999999	0.000000	0.000000	0.000001	
24000	-431.150417	2	0.095986	0.099912	0.083558	0.001627	0.045240	0.092180	0.002190	0.009158	0.011184	0.093660	0.004648	0.083764	0.999999	0.000000	0.000000	0.000001	
25000	-426.957930	61	0.095998	0.098864	0.098479	0.000444	0.034673	0.094682	0.000812	0.016983	0.016462	0.044005	0.005101	0.086732	1.000000	0.000000	0.000000	0.000000	
26000	-429.638505	14	0.090482	0.099648	0.094310	0.000648	0.056642	0.097500	0.001210	0.017634	0.027987	0.038038	0.017994	0.082707	1.000000	0.000000	0.000000	0.000000	
27000	-428.891745	30	0.099136	0.075571	0.097119	0.000965	0.077667	0.065620	0.000806	0.051797	0.033161	0.046035	0.031514	0.076206	1.000000	0.000000	0.000000	0.000000	
28000	-431.306304	89	0.092398	0.075158	0.089420	0.003146	0.073664	0.045188	0.000687	0.082387	0.025309	0.091206	0.042827	0.062897	0.999999	0.000000	0.000000	0.000001	
29000	-426.520572	90	0.097396	0.087939	0.097120	0.002309	0.094868	0.068611	0.000645	0.096451	0.022433	0.064182	0.080729	0.069838	1.000000	0.000000	0.000000	0.000000	
30000	-426.589830	70	0.091290	0.081574	0.099767	0.004450	0.078177	0.066287	0.000813	0.052067	0.017857	0.087630	0.065290	0.087939	0.999999	0.000000	0.000000	0.000001	
31000	-427.902855	48	0.096840	0.065728	0.096818	0.001692	0.076591	0.064217	0.000233	0.060879	0.028673	0.083262	0.097672	0.056078	0.999999	0.000000	0.000000	0.000001	
32000	-429.471221	8	0.099020	0.099583	0.084014	0.001939	0.062132	0.096666	0.000143	0.043620	0.020540	0.092538	0.069300	0.041776	0.999999	0.000000	0.000000	0.000001	
33000	-425.469217	39	0.091867	0.093691	0.099870	0.001137	0.088222	0.078011	0.000214	0.017285	0.020083	0.092368	0.063845	0.077857	0.999999	0.000000	0.000000	0.000001	
34000	-428.867980	76	0.098750	0.051963	0.097299	0.001079	0.048978	0.094763	0.000121	0.016756	0.008175	0.051537	0.095417	0.072339	1.000000	0.000000	0.000000	0.000000	
35000	-427.286382	90	0.098602	0.087476	0.098364	0.001889	0.074654	0.046262	0.000157	0.014385	0.009756	0.057943	0.036595	0.095453	1.000000	0.000000	0.000000	0.000000	
36000	-426.367218	22	0.084902	0.095526	0.099566	0.001797	0.060439	0.096432	0.000298	0.011456	0.011757	0.095609	0.065525	0.081744	0.999999	0.000000	0.000000	0.000001	
37000	-426.507232	12	0.090385	0.097089	0.095412	0.002212	0.088357	0.064868	0.000476	0.009729	0.022862	0.098605	0.084766	0.047331	0.999999	0.000000	0.000000	0.000001	
38000	-426.042014	47	0.098483	0.084926	0.098546	0.001920	0.069475	0.057463	0.000492	0.006158	0.020343	0.091435	0.086996	0.054148	0.999999	0.000000	0.000000	0.000001	
39000	-425.698452	77	0.099253	0.084603	0.099973	0.003152	0.045757	0.067644	0.000452	0.014519	0.034823	0.080976	0.045237	0.073278	0.999999	0.000000	0.000000	0.000001	
40000	-426.102324	96	0.096938	0.095509	0.095853	0.002237	0.070069	0.084778	0.000785	0.003985	0.020943	0.065032	0.093558	0.071820	1.000000	0.000000	0.000000	0.000000	
41000	-429.372779	71	0.094875	0.068484	0.094688	0.003322	0.099848	0.049378	0.002003	0.004448	0.013397	0.070790	0.095505	0.054247	1.000000	0.000000	0.000000	0.000000	
42000	-425.157894	61	0.097448	0.082298	0.099448	0.001648	0.048307	0.084114	0.004474	0.011943	0.029353	0.091539	0.086209	0.039318	0.999999	0.000000	0.000000	0.000001	
43000	-425.888390	2	0.098943	0.079917	0.098539	0.001786	0.055732	0.047681	0.008578	0.013853	0.033305	0.083344	0.073627	0.079586	0.999999	0.000000	0.000000	0.000001	
44000	-426.564060	52	0.096717	0.095477	0.095306	0.001111	0.062927	0.082661	0.005731	0.008046	0.029150	0.074066	0.042887	0.099892	0.999999	0.000000	0.000000	0.000001	
45000	-426.067115	79	0.097885	0.083388	0.095174	0.000980	0.058668	0.060498	0.022398	0.006812	0.056084	0.086325	0.069955	0.083980	0.999999	0.000000	0.000000	0.000001	
46000	-429.035577	21	0.099745	0.099638	0.093793	0.000762	0.045666	0.018806	0.005793	0.016246	0.067536	0.065125	0.017467	0.089345	1.000000	0.000000	0.000000	0.000000	
47000	-430.700191	32	0.096297	0.063671	0.099793	0.000425	0.048442	0.026707	0.007987	0.021697	0.084931	0.039558	0.004930	0.099895	1.000000	0.000000	0.000000	0.000000	
