q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.092986,0.053845,0.099515,0.019925,0.040551,0.082699,0.076246,0.077236,0.011252,0.073331,0.062934,0.035775
0.09399,0.05399,0.099048,0.015719,0.028312,0.06799,0.093757,0.097643,0.017221,0.096564,0.093927,0.083741
0.090849,0.097241,0.098806,0.016334,0.086974,0.095731,0.066348,0.041891,0.008997,0.073299,0.092166,0.08843
0.091806,0.073062,0.099203,0.022586,0.028185,0.096822,0.069441,0.074136,0.017264,0.098687,0.082187,0.093854
0.092914,0.086802,0.097639,0.040005,0.064544,0.065651,0.099884,0.081122,0.011488,0.095936,0.098292,0.081977
0.099975,0.08081,0.099516,0.024188,0.063033,0.0801,0.067804,0.061067,0.038307,0.091017,0.098608,0.081994
0.097291,0.099467,0.093528,0.015648,0.024923,0.060638,0.096808,0.093032,0.049838,0.064399,0.043764,0.073716
0.097103,0.069638,0.097064,0.010944,0.02793,0.074837,0.081603,0.044176,0.04696,0.096413,0.07295,0.057792
0.086291,0.085425,0.096883,0.004247,0.072626,0.052919,0.082738,0.025999,0.0662,0.078707,0.090689,0.088638
0.097657,0.097462,0.096704,0.00528,0.07609,0.054324,0.063831,0.03765,0.075262,0.081523,0.092408,0.061862
0.095955,0.097597,0.098562,0.00308,0.097462,0.054822,0.084558,0.078924,0.073873,0.089207,0.040972,0.060778
0.099316,0.080795,0.092941,0.002293,0.072961,0.068399,0.095243,0.060998,0.097928,0.083691,0.070485,0.081151
0.098164,0.09831,0.099603,0.002626,0.079413,0.061211,0.088585,0.067044,0.064396,0.088372,0.095984,0.085446
0.099342,0.058809,0.096083,0.004297,0.064982,0.074815,0.040134,0.074899,0.038754,0.097602,0.094611,0.075158
0.098703,0.085441,0.097553,0.003581,0.059509,0.088446,0.041155,0.046909,0.076795,0.09932,0.057576,0.084224
0.092886,0.049395,0.075436,0.010954,0.053664,0.048954,0.093989,0.060047,0.091629,0.058537,0.056066,0.085163
0.099848,0.043029,0.098467,0.008425,0.035779,0.077227,0.071437,0.065884,0.039211,0.040155,0.055507,0.064481
0.091709,0.092184,0.093475,0.019559,0.055981,0.075058,0.071809,0.048107,0.071684,0.079229,0.096651,0.070422
0.095504,0.08792,0.09798,0.049797,0.093147,0.078509,0.038752,0.082635,0.063172,0.083639,0.061924,0.039738
0.099845,0.084884,0.098956,0.087025,0.051506,0.068392,0.045459,0.064908,0.064025,0.059672,0.094654,0.070865
0.095369,0.081221,0.095839,0.058874,0.044322,0.043697,0.06507,0.069981,0.038069,0.090847,0.09101,0.075588
0.073523,0.093726,0.099055,0.065003,0.034377,0.0419,0.089061,0.096218,0.051359,0.074902,0.097977,0.086428
0.081118,0.09723,0.094653,0.081732,0.029667,0.051255,0.077138,0.098656,0.083553,0.0974,0.098411,0.067415
0.091943,0.054848,0.099142,0.090658,0.03724,0.05971,0.076109,0.091128,0.091095,0.081429,0.087907,0.086649
0.096932,0.085722,0.095637,0.053267,0.06018,0.094384,0.040998,0.080789,0.082682,0.073082,0.070134,0.098842
0.092287,0.070429,0.098522,0.087179,0.06555,0.065877,0.033315,0.032336,0.048507,0.08072,0.041104,0.066743
0.096794,0.084544,0.096255,0.052866,0.054971,0.088759,0.048397,0.083822,0.062191,0.050582,0.028873,0.056953
0.085545,0.091089,0.093616,0.04565,0.041571,0.076964,0.047595,0.094252,0.074971,0.033697,0.037624,0.053951
0.083541,0.063371,0.098671,0.079636,0.054821,0.093575,0.075606,0.069945,0.077096,0.035026,0.022403,0.080355
0.084575,0.063588,0.092716,0.064009,0.051214,0.068915,0.09804,0.076911,0.099709,0.043759,0.025941,0.071933
0.097698,0.081461,0.09658,0.098925,0.098997,0.042605,0.092134,0.045037,0.096054,0.033745,0.032806,0.054765
0.096251,0.078353,0.099159,0.071219,0.08301,0.068647,0.089094,0.08423,0.090878,0.099312,0.043969,0.05069
0.085832,0.079332,0.099772,0.099159,0.084366,0.098254,0.045325,0.085169,0.070117,0.096022,0.046862,0.051943
0.09919,0.058893,0.090706,0.095136,0.051416,0.097501,0.028964,0.080625,0.049956,0.085617,0.070512,0.075472
0.070699,0.067595,0.093281,0.09055,0.038306,0.060767,0.029285,0.061085,0.063625,0.092383,0.084058,0.097644
0.091968,0.085145,0.093737,0.073756,0.06225,0.08325,0.027435,0.050474,0.083784,0.075305,0.037452,0.090948
0.099744,0.077856,0.098382,0.070837,0.091367,0.096237,0.033778,0.036919,0.059106,0.057558,0.01523,0.041891
0.095707,0.077575,0.09984,0.085723,0.085088,0.042768,0.026984,0.029625,0.085032,0.038123,0.022197,0.080423
0.097838,0.045755,0.094356,0.037595,0.078597,0.053442,0.009863,0.04314,0.059683,0.043894,0.046975,0.065761
0.097173,0.089329,0.099309,0.049148,0.047385,0.058503,0.018377,0.064054,0.055802,0.090984,0.099196,0.03025
0.063365,0.066005,0.097391,0.069201,0.09399,0.085804,0.038612,0.035439,0.023519,0.096627,0.085022,0.036896
0.091562,0.081272,0.098664,0.043227,0.099481,0.070569,0.036988,0.027072,0.025641,0.099775,0.094208,0.076033
0.096553,0.086321,0.097942,0.089282,0.073122,0.082313,0.032513,0.038712,0.047591,0.090884,0.083768,0.090889
0.095245,0.070624,0.099775,0.077936,0.054373,0.061139,0.029833,0.039546,0.058354,0.062121,0.097197,0.09508
0.098995,0.097778,0.099951,0.093405,0.093347,0.071204,0.022589,0.080306,0.096019,0.098277,0.072929,0.092943
0.098041,0.085528,0.097953,0.09787,0.081673,0.046946,0.020179,0.092744,0.073776,0.066013,0.095035,0.076558
0.091048,0.095447,0.096951,0.084279,0.066884,0.030741,0.010764,0.06393,0.063703,0.06609,0.087596,0.089796
0.099781,0.087576,0.098561,0.050049,0.087223,0.065786,0.003908,0.070226,0.096703,0.078667,0.08014,0.097334
0.097003,0.098286,0.097263,0.035141,0.062145,0.053338,0.004041,0.065041,0.093462,0.056769,0.092304,0.096446
0.099805,0.091249,0.098993,0.035764,0.048213,0.099741,0.00469,0.09546,0.060868,0.033123,0.096651,0.082587
0.097931,0.095382,0.097886,0.043785,0.06881,0.091238,0.00574,0.092578,0.047339,0.052892,0.068675,0.076364
0.087971,0.09648,0.0985,0.085896,0.097367,0.042627,0.007344,0.049946,0.077384,0.044058,0.066693,0.086348
0.095886,0.095107,0.098307,0.097543,0.085026,0.089154,0.006969,0.096443,0.070225,0.070472,0.09215,0.061009
0.097063,0.096576,0.097958,0.076376,0.059214,0.095988,0.003993,0.088093,0.049672,0.081555,0.093165,0.071529
0.094279,0.088185,0.098609,0.058815,0.088502,0.095547,0.004945,0.096376,0.077397,0.096146,0.07368,0.063559
0.094162,0.078218,0.09849,0.050854,0.091779,0.097869,0.007808,0.060201,0.080623,0.082957,0.034744,0.039478
0.095204,0.091617,0.098967,0.030394,0.077445,0.088031,0.007839,0.071447,0.09252,0.078673,0.017451,0.033184
0.096223,0.082679,0.099428,0.015271,0.082964,0.088573,0.010557,0.086644,0.069124,0.082336,0.014308,0.03711
