Options:
Model:                           MultiState
Tree File Name:                  data/jan_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/jan_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4128925838
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2458
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-3818.546093	1	0.046037	0.030744	0.039704	0.077031	0.091964	0.074134	0.014926	0.006253	0.052320	0.024389	0.089865	0.021563	0.250000	0.250000	0.250000	0.250000	
1000	-951.904219	1	0.000505	0.000104	0.000353	0.030583	0.064636	0.004605	0.022559	0.054244	0.035525	0.000342	0.018972	0.009435	0.098264	0.443271	0.346114	0.112352	
2000	-909.901732	1	0.000244	0.000100	0.000249	0.001290	0.023631	0.006803	0.019664	0.040191	0.007670	0.013957	0.002481	0.002140	0.236579	0.067895	0.286809	0.408718	
3000	-900.556193	1	0.000319	0.000078	0.000259	0.004890	0.058968	0.005706	0.006335	0.098191	0.002343	0.017841	0.000227	0.000139	0.737808	0.071446	0.073807	0.116939	
4000	-897.251115	1	0.000428	0.000063	0.000177	0.008152	0.015219	0.010040	0.003180	0.032517	0.001761	0.015711	0.000221	0.000149	0.639538	0.217744	0.072227	0.070491	
5000	-899.876830	1	0.000173	0.000200	0.000320	0.002076	0.023863	0.008567	0.017616	0.041498	0.001714	0.015079	0.000003	0.000441	0.333823	0.129577	0.495546	0.041053	
6000	-900.827133	1	0.000092	0.000306	0.000325	0.000941	0.034026	0.002317	0.026535	0.053280	0.005503	0.016386	0.000107	0.000247	0.157599	0.214213	0.604969	0.023219	
7000	-901.479111	1	0.000253	0.000171	0.000195	0.000310	0.017466	0.003520	0.022384	0.018751	0.016829	0.018436	0.000137	0.001367	0.144628	0.092773	0.701366	0.061233	
8000	-898.360726	1	0.000110	0.000242	0.000172	0.013212	0.005597	0.006059	0.003457	0.024992	0.001316	0.014461	0.000466	0.000134	0.167800	0.621408	0.190122	0.020670	
9000	-897.858252	1	0.000311	0.000021	0.000221	0.001193	0.016696	0.002501	0.013951	0.017865	0.007267	0.013621	0.000242	0.000540	0.286440	0.053836	0.616382	0.043341	
10000	-903.996567	1	0.000442	0.000014	0.000347	0.001022	0.045785	0.005042	0.019357	0.057149	0.005748	0.012946	0.000290	0.001172	0.456905	0.140665	0.355727	0.046702	
11000	-901.200014	1	0.000255	0.000060	0.000230	0.004832	0.029108	0.001049	0.011929	0.036686	0.007762	0.013238	0.000727	0.000749	0.416617	0.147147	0.365389	0.070847	
12000	-902.303851	1	0.000377	0.000047	0.000138	0.000594	0.051001	0.004892	0.017949	0.093631	0.008123	0.014068	0.000696	0.000360	0.663347	0.078905	0.186095	0.071653	
13000	-898.322403	1	0.000319	0.000042	0.000309	0.000873	0.014217	0.005144	0.025926	0.012226	0.002281	0.013120	0.000917	0.000092	0.093003	0.079841	0.818266	0.008890	
14000	-901.088961	1	0.000122	0.000184	0.000261	0.004435	0.023538	0.000861	0.017266	0.025955	0.013068	0.013164	0.000272	0.001269	0.149764	0.208874	0.612362	0.029000	
15000	-897.161201	1	0.000272	0.000136	0.000263	0.002783	0.018262	0.000322	0.014939	0.025013	0.014394	0.014304	0.000508	0.000236	0.441275	0.059272	0.452421	0.047032	
16000	-904.715080	1	0.000195	0.000145	0.000446	0.000031	0.043984	0.001357	0.018182	0.038913	0.009073	0.017217	0.001046	0.000434	0.189524	0.197415	0.538873	0.074188	
17000	-900.467455	1	0.000331	0.000049	0.000252	0.000048	0.015225	0.001556	0.023080	0.011110	0.012205	0.013464	0.000452	0.002229	0.103428	0.056188	0.793249	0.047135	
18000	-900.386369	1	0.000211	0.000137	0.000183	0.000686	0.039569	0.000199	0.020579	0.040795	0.016212	0.013822	0.000222	0.000905	0.229814	0.198530	0.538040	0.033616	
19000	-898.072400	1	0.000306	0.000026	0.000315	0.003048	0.030559	0.000156	0.007901	0.032292	0.011598	0.014747	0.000442	0.000068	0.719928	0.045890	0.158179	0.076003	
20000	-899.465771	1	0.000432	0.000024	0.000320	0.009688	0.011859	0.000055	0.001263	0.011199	0.018191	0.014775	0.000539	0.000037	0.683859	0.210599	0.033942	0.071600	
21000	-898.973674	1	0.000412	0.000001	0.000182	0.001952	0.039201	0.002651	0.019462	0.061008	0.005623	0.014826	0.000132	0.000002	0.395703	0.159492	0.409479	0.035326	
22000	-897.657164	1	0.000376	0.000000	0.000308	0.011582	0.026871	0.006667	0.000222	0.044450	0.002237	0.014565	0.000841	0.000000	0.570796	0.278925	0.078748	0.071531	
23000	-900.248360	1	0.000330	0.000001	0.000402	0.006642	0.008508	0.006990	0.002948	0.020105	0.003270	0.016602	0.000143	0.000003	0.659095	0.215519	0.048036	0.077349	
24000	-898.403939	1	0.000282	0.000000	0.000243	0.001630	0.014747	0.000229	0.016369	0.006103	0.010072	0.016157	0.000504	0.000024	0.050900	0.069557	0.870112	0.009430	
25000	-899.314370	1	0.000334	0.000000	0.000230	0.000700	0.034043	0.000647	0.013984	0.039797	0.014238	0.014470	0.000352	0.001254	0.483396	0.073765	0.332060	0.110779	
