q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.00018,0.000162,0.000403,0.01081,0.006144,0.008645,0.000549,0.018338,0.002439,0.014482,0.000774,0.000281
0.000194,0.000172,0.000243,0.012374,0.004362,0.004413,0.000182,0.018371,0.001412,0.014609,0.000124,0.000386
0.000269,0.000196,0.000179,0.013468,0.009112,0.004596,0.001677,0.024666,0.004278,0.016258,5.5e-05,0.001056
0.000232,0.00018,0.000224,0.011602,0.035785,0.005093,0.000204,0.075755,0.000783,0.014253,0.00013,0.000648
0.000442,0.000152,0.000569,0.011484,0.022857,0.001979,0.000622,0.033331,0.004394,0.01405,0.00072,0.000317
0.000199,0.000223,0.000146,0.001093,0.050699,0.002228,0.016658,0.081656,0.014774,0.015101,0.00023,0.000691
0.000252,0.000112,0.000277,0.002733,0.034177,0.000334,0.015891,0.049322,0.013812,0.017546,6.5e-05,0.000339
0.000207,0.000296,0.000284,0.000804,0.048785,0.004766,0.016917,0.08301,0.00701,0.016026,4.5e-05,0.000171
0.000178,0.00014,0.000299,0.000129,0.014677,0.004666,0.022154,0.012645,0.001986,0.015042,0.000815,0.000134
0.000153,0.000304,0.000278,0.000382,0.02306,0.000701,0.016019,0.026951,0.017074,0.017756,0.000455,2.4e-05
0.000258,6e-06,0.000308,0.000604,0.015868,0.004782,0.016542,0.015034,0.002305,0.014867,0.000181,7.5e-05
0.000171,8.7e-05,0.00043,0.002084,0.022284,0.002192,0.012575,0.025837,0.01231,0.014996,0.000278,0.000784
0.000346,6e-05,0.000343,0.002323,0.051996,0.004284,0.014425,0.082467,0.010962,0.014704,0.000588,0.00064
0.000367,4.9e-05,0.000236,0.009582,0.010054,0.007778,0.001731,0.024647,0.004062,0.016564,0.000123,0.000527
0.000329,6.5e-05,0.000165,0.005483,0.021838,0.002773,0.004082,0.03621,0.016018,0.017221,1e-05,0.000886
0.000255,2e-06,0.000201,0.000128,0.023179,0.00683,0.02016,0.029693,0.005652,0.014877,0.00017,0.001217
0.000118,0.000335,0.000211,5.6e-05,0.01667,0.002165,0.023105,0.016443,0.016021,0.016812,0.000535,0.000417
0.000261,7.3e-05,0.000306,0.00033,0.016443,0.005462,0.02104,0.016524,0.001868,0.015903,0.000366,2.7e-05
0.000316,0.000111,0.000233,0.003259,0.028653,0.008743,0.010674,0.035265,0.001346,0.014945,0.00159,9.2e-05
0.000203,0.000156,0.0002,0.003676,0.04368,0.002728,0.010671,0.051405,0.006671,0.014521,0.000147,0.000284
0.000377,7.9e-05,0.000234,0.011695,0.024875,0.0021,0.001216,0.039464,0.008917,0.014049,7e-05,0.000329
0.000385,1.8e-05,0.000315,0.007254,0.03742,0.002517,0.009568,0.051934,0.006861,0.016252,0.000797,0.000528
