Options:
Model:                           MultiState
Tree File Name:                  data/jan_nat_species_11-07-25.tre
Data File Name:                  data/jan_nat_species_11-07-25.txt
Log File Name:                   data/jan_nat_species_11-07-25.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            152725646
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/jan_nat_species_11-07-25.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2990
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-3031.789640	1	0.021020	0.022704	0.063223	0.049438	0.065489	0.082413	0.050215	0.073696	0.047139	0.095527	0.085241	0.024532	0.250000	0.250000	0.250000	0.250000	
1000	-1048.290092	1	0.000180	0.000157	0.000055	0.026210	0.005586	0.002917	0.002439	0.018735	0.003069	0.005038	0.001488	0.001257	0.003552	0.233644	0.757890	0.004914	
2000	-1052.348128	1	0.000307	0.000264	0.000018	0.029124	0.005665	0.001672	0.003115	0.027250	0.003185	0.006240	0.001905	0.002203	0.004419	0.134854	0.849210	0.011517	
3000	-1045.366069	1	0.000109	0.000205	0.000027	0.025979	0.005754	0.001122	0.002724	0.017695	0.003679	0.005821	0.002974	0.001390	0.002691	0.232755	0.756531	0.008023	
4000	-1045.725248	1	0.000243	0.000166	0.000038	0.025741	0.002447	0.000734	0.001545	0.013518	0.004302	0.004965	0.002326	0.001358	0.006864	0.281010	0.705344	0.006782	
5000	-1046.261672	1	0.000270	0.000133	0.000036	0.028279	0.003533	0.002256	0.000731	0.018398	0.003738	0.006082	0.002783	0.002427	0.002885	0.158352	0.824467	0.014296	
6000	-1043.978803	1	0.000193	0.000146	0.000009	0.026862	0.003281	0.000856	0.000575	0.017336	0.005094	0.005644	0.003122	0.001472	0.002545	0.180461	0.808498	0.008496	
7000	-1044.967773	1	0.000090	0.000215	0.000039	0.027469	0.003117	0.001127	0.002443	0.017364	0.002568	0.006398	0.001520	0.001393	0.002637	0.082598	0.908498	0.006267	
8000	-1046.613806	1	0.000028	0.000263	0.000002	0.027457	0.003438	0.000622	0.000888	0.016540	0.006429	0.005403	0.003061	0.001877	0.004782	0.229618	0.755163	0.010437	
9000	-1048.610398	1	0.000008	0.000197	0.000002	0.024980	0.003185	0.001263	0.005009	0.019127	0.005105	0.005060	0.000873	0.002770	0.001915	0.099428	0.888549	0.010108	
10000	-1050.795574	1	0.000022	0.000216	0.000045	0.021585	0.002815	0.002319	0.001380	0.014849	0.005111	0.007126	0.000467	0.002497	0.004633	0.380586	0.605130	0.009652	
11000	-1049.347035	1	0.000200	0.000284	0.000006	0.028372	0.000755	0.001931	0.005267	0.017973	0.001707	0.005352	0.001139	0.002729	0.003854	0.016367	0.968013	0.011766	
12000	-1048.612383	1	0.000159	0.000143	0.000021	0.026989	0.003889	0.002193	0.003714	0.013230	0.005445	0.004833	0.003325	0.001480	0.002996	0.250745	0.737812	0.008447	
13000	-1046.806850	1	0.000207	0.000240	0.000031	0.030728	0.003086	0.002024	0.001066	0.016684	0.003864	0.004772	0.003234	0.001579	0.008682	0.148404	0.834706	0.008207	
14000	-1044.811297	1	0.000173	0.000147	0.000040	0.027501	0.002460	0.001595	0.001626	0.015123	0.005181	0.007128	0.002051	0.001007	0.002978	0.125568	0.865524	0.005930	
15000	-1046.572254	1	0.000138	0.000258	0.000012	0.025816	0.002096	0.001911	0.001264	0.017396	0.003382	0.004804	0.002599	0.003588	0.006596	0.151984	0.821553	0.019867	
16000	-1053.940229	1	0.000438	0.000159	0.000060	0.025237	0.004588	0.001722	0.003129	0.017309	0.004931	0.002716	0.003653	0.001718	0.013118	0.395059	0.583775	0.008048	
17000	-1050.268817	1	0.000232	0.000257	0.000020	0.024499	0.003470	0.003568	0.005088	0.017204	0.001014	0.005406	0.000550	0.003628	0.005956	0.214238	0.766063	0.013742	
18000	-1045.829940	1	0.000226	0.000209	0.000035	0.024801	0.000911	0.001688	0.002458	0.017805	0.003727	0.006137	0.001639	0.002092	0.005375	0.040298	0.943798	0.010529	
19000	-1048.988739	1	0.000343	0.000167	0.000008	0.030927	0.003386	0.002453	0.003210	0.016931	0.003972	0.004741	0.002535	0.003074	0.004359	0.126323	0.854837	0.014481	
20000	-1048.994541	1	0.000121	0.000137	0.000027	0.029497	0.005073	0.002413	0.000245	0.023881	0.003191	0.005497	0.000604	0.004486	0.001415	0.128775	0.851281	0.018529	
21000	-1051.033406	1	0.000317	0.000194	0.000034	0.028538	0.003406	0.000934	0.000122	0.013904	0.006472	0.008556	0.000409	0.000932	0.015265	0.451004	0.529174	0.004557	
22000	-1047.820705	1	0.000006	0.000285	0.000022	0.023042	0.001545	0.001998	0.001649	0.015737	0.005166	0.008855	0.000768	0.001161	0.006839	0.108544	0.877493	0.007124	
23000	-1048.375619	1	0.000057	0.000194	0.000119	0.023502	0.004732	0.000649	0.000584	0.018914	0.004588	0.005915	0.001011	0.001514	0.003083	0.362917	0.628463	0.005537	
24000	-1049.931058	1	0.000316	0.000241	0.000025	0.025918	0.002736	0.001048	0.004397	0.014413	0.004418	0.004195	0.000846	0.002920	0.011719	0.209666	0.769699	0.008915	
25000	-1052.021578	1	0.000396	0.000047	0.000031	0.028885	0.013903	0.000991	0.001696	0.029053	0.004031	0.006337	0.002608	0.002233	0.001443	0.295784	0.690274	0.012499	
26000	-1045.231938	1	0.000104	0.000257	0.000031	0.026475	0.001767	0.002520	0.003900	0.018194	0.002135	0.004168	0.002071	0.002090	0.004477	0.050705	0.937022	0.007796	
27000	-1050.934228	1	0.000144	0.000298	0.000014	0.033659	0.001747	0.001372	0.002460	0.016903	0.002766	0.003818	0.002295	0.002060	0.005565	0.036477	0.950390	0.007569	
28000	-1048.768461	1	0.000197	0.000162	0.000056	0.021414	0.003821	0.003051	0.004252	0.018589	0.001880	0.006898	0.000663	0.003155	0.003048	0.264207	0.717255	0.015490	
29000	-1051.374820	1	0.000364	0.000058	0.000037	0.023564	0.008451	0.001591	0.003253	0.023337	0.003442	0.003674	0.002038	0.002741	0.002236	0.365419	0.623777	0.008569	
30000	-1049.573631	1	0.000200	0.000157	0.000040	0.022513	0.002937	0.001501	0.005066	0.020204	0.001680	0.006733	0.001029	0.003113	0.001797	0.118351	0.856268	0.023584	
31000	-1047.610694	1	0.000032	0.000217	0.000026	0.025044	0.006368	0.001901	0.004160	0.021226	0.002370	0.005443	0.002236	0.001921	0.001974	0.171023	0.818502	0.008501	
32000	-1043.695347	1	0.000181	0.000152	0.000024	0.024822	0.005047	0.001721	0.001423	0.018490	0.004262	0.005364	0.002818	0.001031	0.003151	0.299726	0.690644	0.006479	
33000	-1050.016316	1	0.000104	0.000222	0.000018	0.030880	0.002274	0.002426	0.000108	0.026638	0.001649	0.006991	0.000445	0.003767	0.002102	0.041763	0.928965	0.027169	
34000	-1046.696992	1	0.000243	0.000096	0.000017	0.025874	0.006478	0.001861	0.000142	0.023106	0.003249	0.005683	0.002847	0.001888	0.001568	0.253420	0.734831	0.010180	
35000	-1047.792798	1	0.000194	0.000092	0.000058	0.028789	0.004140	0.001190	0.002216	0.014519	0.004192	0.005477	0.001993	0.002052	0.001401	0.202818	0.786694	0.009087	
36000	-1049.797639	1	0.000361	0.000080	0.000017	0.031879	0.003664	0.002978	0.000642	0.021517	0.002214	0.005372	0.002369	0.002953	0.001134	0.081050	0.903132	0.014684	
37000	-1048.196456	1	0.000275	0.000199	0.000055	0.028814	0.007832	0.001475	0.001432	0.023993	0.003906	0.004530	0.001575	0.002089	0.004895	0.286165	0.701853	0.007088	
38000	-1046.645268	1	0.000119	0.000099	0.000029	0.030472	0.003523	0.000099	0.001247	0.018948	0.004581	0.005540	0.001871	0.002248	0.000910	0.064740	0.924659	0.009691	
39000	-1046.923990	1	0.000185	0.000131	0.000065	0.025373	0.008465	0.000256	0.000611	0.021006	0.005231	0.006507	0.001209	0.002004	0.002178	0.433663	0.556604	0.007555	
40000	-1046.596612	1	0.000031	0.000365	0.000008	0.023510	0.002683	0.002052	0.001857	0.019218	0.003666	0.007199	0.001394	0.002248	0.008733	0.153204	0.825013	0.013050	
41000	-1048.173112	1	0.000100	0.000165	0.000087	0.024802	0.006080	0.001054	0.002039	0.020331	0.004265	0.005170	0.002083	0.003363	0.002085	0.272065	0.711344	0.014506	
42000	-1048.904709	1	0.000215	0.000225	0.000039	0.027910	0.002973	0.003093	0.003614	0.016242	0.002905	0.004899	0.001719	0.000866	0.008013	0.099544	0.888883	0.003560	
43000	-1048.654062	1	0.000159	0.000141	0.000062	0.025417	0.006346	0.001984	0.002610	0.020380	0.004448	0.006565	0.000950	0.003597	0.001976	0.263505	0.718768	0.015750	
44000	-1050.513599	1	0.000155	0.000171	0.000110	0.024850	0.003195	0.003035	0.001892	0.022288	0.001810	0.007408	0.000646	0.003121	0.002703	0.133265	0.844942	0.019089	
45000	-1049.222619	1	0.000070	0.000167	0.000049	0.032986	0.002869	0.002426	0.000332	0.022846	0.001827	0.004774	0.000769	0.003080	0.001625	0.039580	0.947720	0.011074	
46000	-1043.937645	1	0.000054	0.000217	0.000015	0.025086	0.001996	0.001383	0.000367	0.016585	0.005304	0.007635	0.001042	0.000864	0.004799	0.143509	0.846949	0.004743	
47000	-1045.844013	1	0.000112	0.000114	0.000001	0.026650	0.002433	0.001511	0.002468	0.015106	0.003403	0.004615	0.003010	0.001399	0.001275	0.077092	0.915237	0.006396	
48000	-1046.592337	1	0.000227	0.000224	0.000003	0.024287	0.006452	0.001234	0.001825	0.017624	0.005291	0.005595	0.002013	0.002212	0.008278	0.506248	0.476036	0.009438	
49000	-1044.764756	1	0.000263	0.000200	0.000000	0.026231	0.004123	0.001475	0.001211	0.020830	0.005364	0.005614	0.001878	0.001611	0.006147	0.226079	0.760531	0.007243	
50000	-1046.219402	1	0.000221	0.000185	0.000009	0.026191	0.006697	0.002058	0.001224	0.020291	0.003040	0.005129	0.001669	0.002356	0.004490	0.350048	0.636594	0.008868	
