Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3373951118
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-3317.426356	1	0.061120	0.059022	0.087483	0.047882	0.035086	0.039960	0.057815	0.033960	0.001051	0.065706	0.068416	0.038694	0.250000	0.250000	0.250000	0.250000	
1000	-819.054355	1	0.000062	0.000296	0.000128	0.010187	0.004006	0.014337	0.000899	0.004918	0.006146	0.025644	0.001977	0.000429	0.000749	0.965387	0.004258	0.029605	
2000	-815.027986	1	0.000407	0.000128	0.000318	0.013372	0.016132	0.008261	0.008777	0.073940	0.005301	0.019419	0.000831	0.001348	0.013011	0.597108	0.384323	0.005557	
3000	-809.289161	1	0.000029	0.000464	0.000783	0.011590	0.027443	0.002548	0.000357	0.061568	0.023566	0.027027	0.000558	0.001123	0.028963	0.530630	0.410660	0.029747	
4000	-807.930631	1	0.000294	0.000114	0.000565	0.004417	0.027418	0.012759	0.000314	0.071106	0.009342	0.031137	0.000195	0.001251	0.054470	0.575156	0.214824	0.155549	
5000	-803.431337	1	0.000387	0.000126	0.000378	0.010850	0.023738	0.007999	0.000156	0.045145	0.005645	0.026526	0.000623	0.000615	0.072709	0.776938	0.083102	0.067251	
6000	-804.033203	1	0.000108	0.000255	0.000595	0.004794	0.054883	0.000644	0.011170	0.065273	0.024224	0.033097	0.000701	0.000057	0.002586	0.239707	0.754968	0.002739	
7000	-800.360581	1	0.000377	0.000064	0.000393	0.005251	0.057345	0.003868	0.016477	0.097082	0.020236	0.028494	0.000597	0.000045	0.003960	0.317350	0.676385	0.002306	
8000	-802.838427	1	0.000366	0.000015	0.000483	0.002180	0.029294	0.018597	0.009727	0.045108	0.000467	0.031078	0.000364	0.000007	0.011291	0.682375	0.301299	0.005035	
9000	-807.517675	1	0.000231	0.000072	0.000517	0.008734	0.046995	0.006838	0.008125	0.071006	0.007585	0.027510	0.002566	0.001003	0.005906	0.394420	0.401753	0.197921	
10000	-802.872147	1	0.000236	0.000357	0.000399	0.009378	0.022884	0.002140	0.008578	0.039067	0.026276	0.031813	0.000025	0.000554	0.006130	0.261957	0.728524	0.003390	
11000	-801.742533	1	0.000210	0.000234	0.000334	0.005631	0.018536	0.006736	0.016262	0.025517	0.014707	0.026634	0.001775	0.000213	0.004350	0.228103	0.752513	0.015034	
12000	-802.895580	1	0.000121	0.000254	0.000396	0.000834	0.025216	0.000445	0.017271	0.021839	0.032008	0.028524	0.000126	0.001289	0.002432	0.075573	0.916532	0.005463	
13000	-801.780569	1	0.000269	0.000423	0.000294	0.001054	0.060781	0.004268	0.018174	0.089017	0.026514	0.030700	0.000617	0.000028	0.013746	0.229999	0.751255	0.005000	
14000	-804.031472	1	0.000320	0.000202	0.000328	0.011545	0.062724	0.002952	0.008028	0.098240	0.019110	0.032076	0.000267	0.000247	0.003145	0.435140	0.559834	0.001882	
15000	-801.659692	1	0.000320	0.000151	0.000282	0.001027	0.059461	0.001417	0.026899	0.096125	0.026057	0.024170	0.001176	0.000801	0.006252	0.189007	0.794806	0.009935	
16000	-800.758790	1	0.000157	0.000165	0.000497	0.002967	0.040588	0.002919	0.021732	0.061348	0.017938	0.027175	0.000298	0.000349	0.001869	0.174910	0.821425	0.001796	
17000	-801.585304	1	0.000287	0.000163	0.000285	0.000959	0.047632	0.006462	0.025943	0.069611	0.011590	0.030283	0.000221	0.000643	0.002717	0.283079	0.710874	0.003330	
18000	-809.379681	1	0.000218	0.000118	0.000608	0.008709	0.049466	0.006380	0.018144	0.078151	0.010662	0.029628	0.002921	0.000511	0.001140	0.431534	0.553859	0.013467	
19000	-800.573425	1	0.000252	0.000153	0.000362	0.004558	0.042771	0.001717	0.019854	0.066263	0.018358	0.022925	0.000714	0.000514	0.005953	0.159962	0.829914	0.004172	
20000	-809.026871	1	0.000468	0.000549	0.000495	0.001208	0.030651	0.004172	0.020065	0.042011	0.017112	0.024205	0.000852	0.000490	0.142641	0.045746	0.788956	0.022657	
21000	-803.136343	1	0.000422	0.000170	0.000363	0.009455	0.026715	0.003092	0.011343	0.054346	0.013038	0.027974	0.000160	0.000456	0.012268	0.231161	0.750509	0.006062	
22000	-805.477270	1	0.000174	0.000434	0.000238	0.001175	0.045815	0.013936	0.027849	0.078747	0.003761	0.024242	0.000158	0.001401	0.008803	0.264290	0.720221	0.006685	
