q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.000106,0.00019,0.000405,0.008651,0.057945,0.013657,0.008104,0.083698,0.002176,0.022736,0.000551,0.000828
0.000272,0.000222,0.000213,0.003618,0.016798,0.006236,0.019338,0.027367,0.009022,0.027675,8.3e-05,0.000636
0.000378,3e-06,0.000506,0.005701,0.060133,0.003936,0.015175,0.091345,0.014722,0.024003,0.00073,0.00043
0.000358,2.7e-05,0.000205,0.004608,0.063535,0.010173,0.024069,0.075786,0.003689,0.023971,0.000269,0.001083
0.00016,0.000299,0.000534,0.002292,0.050149,0.009735,0.022182,0.092264,0.011406,0.02725,0.000306,0.000777
0.000433,0.00011,0.00024,0.003927,0.024393,0.009566,0.022714,0.078245,0.017099,0.026779,8.8e-05,0.002574
0.000596,3.5e-05,0.000253,0.004816,0.060012,0.001117,0.009202,0.094295,0.02508,0.025601,0.000344,0.000113
0.000303,7.8e-05,0.000835,0.000621,0.027263,0.010192,0.022977,0.046288,0.011993,0.027925,0.000932,0.000379
0.00016,0.000266,0.000169,0.000195,0.057184,0.005073,0.021761,0.066341,0.02207,0.026806,0.001692,1.8e-05
0.000364,9.7e-05,0.000399,0.002403,0.056709,0.000848,0.0206,0.083663,0.023709,0.027387,0.000421,0.000264
0.000301,0.000546,0.00021,0.000985,0.049752,0.00018,0.022099,0.073762,0.03535,0.025197,0.001019,0.000366
0.000255,0.000248,0.00024,0.007052,0.033071,0.000449,0.011372,0.036919,0.018866,0.026065,0.000639,0.000124
0.000424,9.2e-05,0.000273,0.015674,0.013032,0.00372,0.004311,0.023894,0.00929,0.02257,0.001544,0.001044
0.000114,0.000233,0.000417,0.000829,0.055887,0.008447,0.032178,0.075497,0.002276,0.024279,0.00142,0.000358
0.000135,0.0004,0.000372,0.001768,0.039925,0.001321,0.012647,0.059633,0.035408,0.031319,0.000298,5.2e-05
0.000283,0.000235,0.00014,0.001391,0.032113,0.00493,0.013395,0.057168,0.027888,0.031999,0.0001,6e-06
0.000147,0.000543,0.000306,0.00335,0.030927,0.00641,0.014791,0.033052,0.013375,0.025924,0.000539,0.001221
0.000181,0.00018,0.000389,0.00074,0.026652,0.005216,0.024801,0.028838,0.012791,0.026994,0.000139,0.001997
0.000271,0.000113,0.000435,0.007416,0.03149,0.005386,0.019327,0.054846,0.010298,0.031619,0.000282,0.000582
0.000405,0.000134,0.000398,0.009062,0.034109,0.010945,0.018326,0.086235,0.005217,0.025738,0.001109,0.001082
0.00032,0.000137,0.000329,0.002475,0.069439,0.001512,0.017955,0.099395,0.017335,0.024732,0.000197,0.000714
0.000162,0.000226,0.000471,0.000796,0.055469,0.000435,0.032014,0.089946,0.024613,0.028039,0.001141,0.000695
0.000301,8.9e-05,0.00042,0.010424,0.026789,7e-05,0.011792,0.02602,0.011238,0.021643,0.00015,0.000758
0.000315,0.000197,0.000316,0.000556,0.024971,0.000508,0.014938,0.023742,0.026744,0.027982,0.000244,0.002654
0.000293,0.00012,0.000476,0.000575,0.064014,0.002958,0.017971,0.098233,0.027271,0.032844,0.000841,0.000159
0.000249,0.000225,0.000294,0.004726,0.052912,0.000577,0.006855,0.08224,0.032085,0.027098,0.000139,1.1e-05
0.000382,0.00024,0.000226,0.002823,0.029537,0.002142,0.019392,0.022316,0.028949,0.023957,0.001359,0.000263
0.0001,0.000287,0.000372,0.006502,0.043492,0.002399,0.011455,0.047184,0.019213,0.0281,0.001587,0.001396
0.000177,0.000211,0.0004,0.001908,0.054228,0.000739,0.019083,0.083816,0.024373,0.026662,0.000682,0.001031
0.000205,0.000289,0.000379,0.003161,0.021079,0.005003,0.034099,0.036366,0.017412,0.022123,0.000855,0.001248
8.6e-05,0.000436,0.000218,0.001911,0.032257,0.002577,0.016976,0.053071,0.020606,0.02607,3.2e-05,0.000967
0.000126,0.000731,0.000305,0.000998,0.036265,0.004282,0.032244,0.058463,0.012404,0.028833,0.000893,0.000242
0.00031,0.000209,0.000204,0.003806,0.024327,0.000682,0.01447,0.025086,0.015124,0.027597,0.000386,4.3e-05
0.000328,1.5e-05,0.000512,0.000209,0.055507,0.002395,0.026815,0.07547,0.017158,0.027766,0.000528,0.000791
0.000557,5.5e-05,0.000364,0.000299,0.084218,0.007342,0.020021,0.093895,0.009821,0.028779,0.000661,0.001167
0.000459,4.5e-05,0.000281,0.000748,0.061158,0.003769,0.01327,0.066039,0.018522,0.024328,0.000528,0.00083
0.00041,4.3e-05,0.000428,0.002903,0.059457,0.002595,0.019576,0.080451,0.015179,0.027114,0.000571,7.1e-05
0.00015,0.000224,0.000407,0.003687,0.043201,0.009589,0.012248,0.088967,0.006068,0.026541,0.000252,1e-05
0.000469,9e-05,0.000367,0.00189,0.044663,0.008701,0.020752,0.072885,0.006513,0.025574,0.000304,1.3e-05
0.000308,0.00028,0.000271,0.00578,0.050471,0.007492,0.009478,0.088894,0.014783,0.025001,0.000248,3.7e-05
0.000355,0.00018,0.000248,0.003115,0.035407,0.000695,0.021069,0.059475,0.018262,0.027504,0.000373,2e-06
0.000454,0.000132,0.000507,0.001067,0.047813,0.00418,0.026631,0.094717,0.018622,0.023057,0.000975,4e-05
0.000252,0.00024,0.000396,0.006097,0.017771,0.012134,0.016172,0.023295,0.005053,0.028011,0.001161,0.000195
0.000348,0.000119,0.000484,0.011419,0.010418,0.011577,0.003974,0.01697,0.00575,0.022532,0.000169,0.000543
0.00036,0.000172,0.000298,0.010208,0.040314,0.007878,0.009052,0.081421,0.006443,0.027274,6.2e-05,0.000408
0.000318,2.2e-05,0.000516,0.006116,0.05421,0.007721,0.012,0.098982,0.008474,0.026558,0.000188,0.001579
9.1e-05,0.000435,0.000319,0.003866,0.028712,0.006625,0.019501,0.062777,0.011702,0.024341,0.00015,0.000258
0.000521,0.000151,0.000318,0.013026,0.043993,0.009385,0.006306,0.065269,0.002441,0.022969,0.000143,0.000361
0.000253,5.7e-05,0.000509,0.000711,0.040728,0.000803,0.014748,0.041189,0.022413,0.027673,0.00057,0.000183
0.00043,5e-06,0.000209,0.001696,0.035003,0.001968,0.015071,0.036717,0.019725,0.029729,0.000574,0.000612
0.000447,1.8e-05,0.000186,0.006197,0.049591,0.004795,0.028039,0.083901,0.01882,0.027817,0.000544,0.001276
0.000396,6.8e-05,0.000258,0.002329,0.067066,0.002483,0.024584,0.097576,0.01517,0.022884,0.000374,0.000274
0.000285,8.5e-05,0.00043,0.000514,0.043029,0.004658,0.02968,0.052987,0.008222,0.026585,9e-05,0.000343
0.000498,0.000121,0.000367,0.000566,0.069323,0.00102,0.012575,0.092475,0.03333,0.029648,0.001504,1.9e-05
4.9e-05,0.000417,0.000529,0.005627,0.058802,0.001097,0.014897,0.092628,0.026127,0.032578,0.000415,0.000644
2e-06,0.000553,0.000272,0.002711,0.042858,0.00064,0.019894,0.050812,0.028736,0.027297,2.9e-05,0.000282
0.000431,0.00025,0.000357,0.002178,0.049451,0.00273,0.027087,0.080462,0.02945,0.027293,3.2e-05,0.001616
0.000157,0.000189,0.000213,0.000705,0.067902,0.002262,0.018313,0.091887,0.020382,0.025379,0.002766,5.1e-05
0.00031,0.00023,0.000396,0.001149,0.048765,0.002796,0.0158,0.054077,0.017621,0.024065,0.000268,0.000947
0.000396,0.000215,0.000618,0.000498,0.053948,0.000304,0.017024,0.058923,0.023607,0.027309,5.9e-05,0.000578
0.000225,0.000286,0.000439,0.008688,0.036565,0.001578,0.002647,0.041683,0.030415,0.035543,0.00012,0.000717
