Options:
Model:                           MultiState
Tree File Name:                  data/zun_nat_species_11-07-25.tre
Data File Name:                  data/zun_nat_species_11-07-25.txt
Log File Name:                   data/zun_nat_species_11-07-25.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            18507918
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_nat_species_11-07-25.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 0.10 
        q02 - uniform 0.00 0.10 
        q03 - uniform 0.00 0.10 
        q10 - uniform 0.00 0.10 
        q12 - uniform 0.00 0.10 
        q13 - uniform 0.00 0.10 
        q20 - uniform 0.00 0.10 
        q21 - uniform 0.00 0.10 
        q23 - uniform 0.00 0.10 
        q30 - uniform 0.00 0.10 
        q31 - uniform 0.00 0.10 
        q32 - uniform 0.00 0.10 
Tree Information
     Trees:                      1
     Taxa:                       2842
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-4782.303208	1	0.028105	0.055088	0.037424	0.047273	0.060155	0.073192	0.001541	0.054912	0.072658	0.032569	0.057721	0.074376	0.250000	0.250000	0.250000	0.250000	
1000	-1154.735776	1	0.000870	0.000117	0.000225	0.012005	0.042128	0.010672	0.010462	0.041761	0.001470	0.017656	0.000630	0.000598	0.070231	0.547964	0.377488	0.004316	
2000	-1156.117259	1	0.000391	0.000573	0.000339	0.012946	0.071605	0.006422	0.018314	0.093393	0.001587	0.014751	0.000440	0.001494	0.010859	0.447711	0.539141	0.002289	
3000	-1157.771848	1	0.000704	0.000346	0.000381	0.012300	0.046047	0.006969	0.013250	0.057509	0.002670	0.012495	0.000991	0.001269	0.090308	0.426852	0.478889	0.003951	
4000	-1154.318625	1	0.000504	0.000107	0.000226	0.004709	0.089505	0.004747	0.030044	0.096897	0.003768	0.013016	0.001764	0.001512	0.004036	0.438034	0.554966	0.002964	
5000	-1157.357805	1	0.000098	0.000589	0.000166	0.008396	0.083410	0.001516	0.020749	0.086457	0.006815	0.013835	0.001268	0.001175	0.007479	0.422558	0.567367	0.002596	
6000	-1158.383171	1	0.000299	0.000388	0.000580	0.010700	0.079735	0.004989	0.016007	0.079324	0.001810	0.015736	0.001406	0.000396	0.009903	0.436252	0.551552	0.002292	
7000	-1152.463816	1	0.000744	0.000044	0.000258	0.026211	0.015683	0.004882	0.002123	0.021316	0.006579	0.012784	0.002684	0.000146	0.007807	0.936289	0.051380	0.004524	
8000	-1155.134379	1	0.000694	0.000077	0.000296	0.006682	0.066647	0.006473	0.015288	0.060514	0.003652	0.016023	0.002034	0.000931	0.045655	0.277131	0.643706	0.033508	
9000	-1155.870029	1	0.000438	0.000233	0.000416	0.013651	0.038579	0.006674	0.009933	0.039484	0.003515	0.013083	0.002100	0.000032	0.034268	0.618341	0.343632	0.003759	
