Options:
Model:                           MultiState
Tree File Name:                  data/geeta_phylo_geeta_class.tre
Data File Name:                  data/geeta_phylo_geeta_class.txt
Log File Name:                   data/geeta_phylo_geeta_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1448082637
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/geeta_phylo_geeta_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q02 - uniform 0.00 100.00 
        q03 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q20 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q23 - uniform 0.00 100.00 
        q30 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q32 - uniform 0.00 100.00 
Tree Information
     Trees:                      99
     Taxa:                       561
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-619.069851	77	5.125574	87.965810	16.183378	98.644486	81.870657	45.364407	59.202342	65.556244	98.627013	4.157943	40.613434	60.357026	0.316457	0.270459	0.233655	0.179429	
1000	-290.476503	96	0.396743	0.253536	2.585180	0.007402	0.184243	21.443652	34.643383	9.705307	18.658394	15.916056	16.141547	0.000896	0.488779	0.001556	0.476632	0.033034	
2000	-274.449293	19	4.638076	0.158461	1.384425	26.313227	14.550567	80.678438	14.927534	3.900433	10.309871	3.372710	34.836783	0.009547	0.901308	0.052361	0.036740	0.009591	
3000	-272.196173	97	4.808641	0.348546	0.471204	79.067016	13.062274	39.263068	20.581958	41.693193	5.370533	13.775057	7.717458	13.964864	0.544825	0.260200	0.141430	0.053545	
4000	-273.073743	38	6.607784	0.241238	3.723513	53.272847	14.906486	53.324998	31.931649	9.101803	5.447845	20.875064	13.991238	4.360878	0.600120	0.182318	0.135743	0.081819	
5000	-272.652374	4	4.360366	1.021470	1.785900	72.443409	39.378734	86.697753	39.985522	41.131161	16.317652	24.475161	35.894010	2.354586	0.493718	0.207319	0.177842	0.121122	
6000	-273.645901	80	1.775804	0.359899	2.845170	90.596450	12.381817	45.488041	14.693676	19.887732	4.001802	9.213315	46.365466	10.573679	0.474301	0.304610	0.091336	0.129753	
7000	-271.482745	42	9.045334	0.610653	0.270400	98.444049	4.833218	80.169897	19.459462	32.055188	5.901905	23.064273	15.722625	18.706358	0.527556	0.258356	0.111968	0.102120	
8000	-272.387585	71	1.497045	0.928972	3.500518	99.969408	7.883950	72.509748	10.089285	30.141835	9.295924	25.248418	21.291407	6.756578	0.483160	0.284813	0.094855	0.137172	
9000	-285.052943	46	1.560704	2.821426	5.515320	79.839209	27.801096	83.199175	55.981874	57.271391	94.639770	1.513059	55.437580	43.750510	0.512417	0.218816	0.179782	0.088985	
