Default schedule
Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
0.0	0	1	1.000000	8.626343	0	0.000000	1.000000	1.000000	
817	0.009792	183	0.879781	8.626343	817	0.009792	0.169000	0.169830	
788	0.022843	212	0.891509	5.000000	788	0.022843	0.207000	0.188406	
828	0.031401	172	0.953488	2.679375	828	0.031401	0.190000	0.188937	
799	0.018773	201	0.910448	2.622579	799	0.018773	0.198000	0.191202	
813	0.040590	187	0.860963	2.315759	813	0.040590	0.194000	0.191762	
855	0.101754	145	0.910345	1.504201	855	0.101754	0.219000	0.196301	
832	0.412260	168	0.946429	0.774742	832	0.412260	0.502000	0.239966	
862	0.296984	138	0.898551	0.978052	862	0.296984	0.380000	0.257468	
831	0.274368	169	0.934911	0.978052	831	0.274368	0.386000	0.271748	
824	0.265777	176	0.914773	0.978052	824	0.265777	0.380000	0.282572	
836	0.294258	164	0.945122	0.978052	836	0.294258	0.401000	0.293337	
822	0.313869	178	0.932584	0.978052	822	0.313869	0.424000	0.304225	
853	0.342321	147	0.891156	0.978052	853	0.342321	0.423000	0.313361	
823	0.274605	177	0.909605	0.978052	823	0.274605	0.387000	0.318620	
847	0.305785	153	0.947712	0.978052	847	0.305785	0.404000	0.324312	
821	0.306943	179	0.899441	0.978052	821	0.306943	0.413000	0.329854	
835	0.264671	165	0.915152	0.978052	835	0.264671	0.372000	0.332333	
829	0.287093	171	0.935673	0.978052	829	0.287093	0.398000	0.335981	
830	0.266265	170	0.876471	0.978052	830	0.266265	0.370000	0.337772	
774	0.226098	226	0.920354	0.978052	774	0.226098	0.383000	0.340033	
844	0.261848	156	0.897436	0.978052	844	0.261848	0.361000	0.341031	
830	0.291566	170	0.900000	0.978052	830	0.291566	0.395000	0.343484	
829	0.295537	171	0.883041	0.978052	829	0.295537	0.396000	0.345768	
831	0.310469	169	0.911243	0.978052	831	0.310469	0.412000	0.348527	
802	0.285536	198	0.904040	0.978052	802	0.285536	0.408000	0.350906	
850	0.255294	150	0.913333	0.978052	850	0.255294	0.354000	0.351025	
811	0.308261	189	0.894180	0.978052	811	0.308261	0.419000	0.353542	
822	0.237226	178	0.938202	0.978052	822	0.237226	0.362000	0.353845	
843	0.278766	157	0.910828	0.978052	843	0.278766	0.378000	0.354677	
847	0.290437	153	0.875817	0.978052	847	0.290437	0.380000	0.355521	
819	0.262515	181	0.834254	0.978052	819	0.262515	0.366000	0.355859	
839	0.277712	161	0.900621	0.978052	839	0.277712	0.378000	0.356551	
781	0.244558	219	0.872146	0.978052	781	0.244558	0.382000	0.357323	
838	0.286396	162	0.919753	0.978052	838	0.286396	0.389000	0.358254	
810	0.282716	190	0.931579	0.978052	810	0.282716	0.406000	0.359618	
849	0.281508	151	0.933775	0.978052	849	0.281508	0.380000	0.360184	
844	0.306872	156	0.923077	0.978052	844	0.306872	0.403000	0.361342	
849	0.274441	151	0.841060	0.978052	849	0.274441	0.360000	0.361306	
821	0.263094	179	0.893855	0.978052	821	0.263094	0.376000	0.361683	
817	0.271726	183	0.923497	0.978052	817	0.271726	0.391000	0.362416	
823	0.317132	177	0.926554	0.978052	823	0.317132	0.425000	0.363942	
828	0.316425	172	0.936047	0.978052	828	0.316425	0.423000	0.365348	
838	0.325776	162	0.888889	0.978052	838	0.325776	0.417000	0.366550	
824	0.308252	176	0.920455	0.978052	824	0.308252	0.416000	0.367673	
816	0.323529	184	0.918478	0.978052	816	0.323529	0.433000	0.369125	
820	0.276829	180	0.922222	0.978052	820	0.276829	0.393000	0.369644	
828	0.248792	172	0.941860	0.978052	828	0.248792	0.368000	0.369609	
827	0.259976	173	0.895954	0.978052	827	0.259976	0.370000	0.369617	
827	0.279323	173	0.913295	0.978052	827	0.279323	0.389000	0.370013	
822	0.290754	178	0.893258	0.978052	822	0.290754	0.398000	0.370573	
805	0.313043	195	0.917949	0.978052	805	0.313043	0.431000	0.371757	
826	0.262712	174	0.913793	0.978052	826	0.262712	0.376000	0.371839	
822	0.284672	178	0.938202	0.978052	822	0.284672	0.401000	0.372389	
829	0.310012	171	0.935673	0.978052	829	0.310012	0.417000	0.373215	
825	0.247273	175	0.914286	0.978052	825	0.247273	0.364000	0.373048	
838	0.269690	162	0.851852	0.978052	838	0.269690	0.364000	0.372886	
808	0.347772	192	0.927083	0.978052	808	0.347772	0.459000	0.374397	
845	0.249704	155	0.922581	0.978052	845	0.249704	0.354000	0.374045	
806	0.305211	194	0.927835	0.978052	806	0.305211	0.426000	0.374926	
816	0.250000	184	0.929348	0.978052	816	0.250000	0.375000	0.374927	
835	0.264671	165	0.921212	0.978052	835	0.264671	0.373000	0.374895	
832	0.280048	168	0.946429	0.978052	832	0.280048	0.392000	0.375171	
823	0.292831	177	0.926554	0.978052	823	0.292831	0.405000	0.375645	
841	0.290131	159	0.886792	0.978052	841	0.290131	0.385000	0.375791	
814	0.329238	186	0.903226	0.978052	814	0.329238	0.436000	0.376717	
848	0.284198	152	0.953947	0.978052	848	0.284198	0.386000	0.376858	
825	0.303030	175	0.931429	0.978052	825	0.303030	0.413000	0.377397	
843	0.266904	157	0.891720	0.978052	843	0.266904	0.365000	0.377215	
843	0.274021	157	0.917197	0.978052	843	0.274021	0.375000	0.377183	
826	0.355932	174	0.902299	0.978052	826	0.355932	0.451000	0.378237	
825	0.305455	175	0.902857	0.978052	825	0.305455	0.410000	0.378685	
844	0.272512	156	0.884615	0.978052	844	0.272512	0.368000	0.378536	
848	0.257075	152	0.960526	0.978052	848	0.257075	0.364000	0.378337	
842	0.286223	158	0.930380	0.978052	842	0.286223	0.388000	0.378468	
826	0.332930	174	0.919540	0.978052	826	0.332930	0.435000	0.379222	
822	0.295620	178	0.898876	0.978052	822	0.295620	0.403000	0.379534	
819	0.257631	181	0.895028	0.978052	819	0.257631	0.373000	0.379450	
841	0.241379	159	0.893082	0.978052	841	0.241379	0.345000	0.379008	
805	0.265839	195	0.938462	0.978052	805	0.265839	0.397000	0.379236	
820	0.259756	180	0.916667	0.978052	820	0.259756	0.378000	0.379220	
823	0.306197	177	0.932203	0.978052	823	0.306197	0.417000	0.379687	
837	0.254480	163	0.920245	0.978052	837	0.254480	0.363000	0.379483	
807	0.197026	193	0.906736	0.978052	807	0.197026	0.334000	0.378935	
826	0.374092	174	0.925287	0.750724	826	0.374092	0.470000	0.380019	
826	0.387409	174	0.954023	0.750724	826	0.387409	0.486000	0.381266	
804	0.366915	196	0.923469	0.750724	804	0.366915	0.476000	0.382368	
827	0.395405	173	0.890173	0.750724	827	0.395405	0.481000	0.383501	
831	0.419976	169	0.911243	0.750724	831	0.419976	0.503000	0.384859	
818	0.233496	182	0.912088	1.048250	818	0.233496	0.357000	0.384546	
825	0.242424	175	0.891429	1.048250	825	0.242424	0.356000	0.384229	
818	0.273839	182	0.868132	1.048250	818	0.273839	0.382000	0.384205	
830	0.246988	170	0.917647	1.048250	830	0.246988	0.361000	0.383952	
834	0.302158	166	0.915663	1.048250	834	0.302158	0.404000	0.384168	
800	0.288750	200	0.905000	1.048250	800	0.288750	0.412000	0.384464	
830	0.251807	170	0.864706	1.048250	830	0.251807	0.356000	0.384164	
841	0.261593	159	0.886792	1.048250	841	0.261593	0.361000	0.383923	
835	0.228743	165	0.903030	1.048250	835	0.228743	0.340000	0.383470	
827	0.221282	173	0.907514	1.048250	827	0.221282	0.340000	0.383027	
848	0.268868	152	0.973684	1.048250	848	0.268868	0.376000	0.382956	
816	0.227941	184	0.929348	1.048250	816	0.227941	0.357000	0.382696	
819	0.245421	181	0.839779	1.048250	819	0.245421	0.353000	0.382402	
819	0.213675	181	0.917127	1.048250	819	0.213675	0.341000	0.381996	
824	0.247573	176	0.937500	1.048250	824	0.247573	0.369000	0.381870	
811	0.249075	189	0.925926	1.048250	811	0.249075	0.377000	0.381823	
827	0.226119	173	0.895954	1.048250	827	0.226119	0.342000	0.381444	
847	0.260921	153	0.915033	1.048250	847	0.260921	0.361000	0.381251	
813	0.257073	187	0.909091	1.048250	813	0.257073	0.379000	0.381230	
824	0.314320	176	0.914773	1.048250	824	0.314320	0.420000	0.381589	
825	0.258182	175	0.902857	1.048250	825	0.258182	0.371000	0.381492	
813	0.249692	187	0.903743	1.048250	813	0.249692	0.372000	0.381406	
818	0.275061	182	0.917582	1.048250	818	0.275061	0.392000	0.381501	
843	0.301305	157	0.904459	1.048250	843	0.301305	0.396000	0.381631	
811	0.277435	189	0.936508	1.048250	811	0.277435	0.402000	0.381811	
820	0.281707	180	0.894444	1.048250	820	0.281707	0.392000	0.381900	
824	0.300971	176	0.892045	1.048250	824	0.300971	0.405000	0.382101	
819	0.339438	181	0.906077	1.048250	819	0.339438	0.442000	0.382617	
801	0.295880	199	0.914573	1.048250	801	0.295880	0.419000	0.382928	
839	0.265793	161	0.925466	1.048250	839	0.265793	0.372000	0.382836	
831	0.269555	169	0.923077	1.048250	831	0.269555	0.380000	0.382812	
842	0.251781	158	0.911392	1.048250	842	0.251781	0.356000	0.382588	
849	0.290931	151	0.940397	1.048250	849	0.290931	0.389000	0.382641	
823	0.233293	177	0.937853	1.048250	823	0.233293	0.358000	0.382439	
819	0.280830	181	0.917127	1.048250	819	0.280830	0.396000	0.382550	
822	0.255474	178	0.943820	1.048250	822	0.255474	0.378000	0.382513	
853	0.268464	147	0.938776	1.048250	853	0.268464	0.367000	0.382389	
831	0.253911	169	0.893491	1.048250	831	0.253911	0.362000	0.382227	
849	0.237927	151	0.920530	1.048250	849	0.237927	0.341000	0.381903	
810	0.237037	190	0.894737	1.048250	810	0.237037	0.362000	0.381747	
844	0.253555	156	0.897436	1.048250	844	0.253555	0.354000	0.381532	
804	0.257463	196	0.933673	1.048250	804	0.257463	0.390000	0.381597	
826	0.219128	174	0.948276	1.048250	826	0.219128	0.346000	0.381325	
831	0.232250	169	0.911243	1.048250	831	0.232250	0.347000	0.381065	
804	0.243781	196	0.933673	1.048250	804	0.243781	0.379000	0.381050	
834	0.250600	166	0.909639	1.048250	834	0.250600	0.360000	0.380893	
825	0.237576	175	0.908571	1.048250	825	0.237576	0.355000	0.380701	
813	0.261993	187	0.909091	1.048250	813	0.261993	0.383000	0.380718	
821	0.295981	179	0.955307	1.048250	821	0.295981	0.414000	0.380961	
833	0.268908	167	0.916168	1.048250	833	0.268908	0.377000	0.380932	
834	0.284173	166	0.891566	1.048250	834	0.284173	0.385000	0.380961	
812	0.208128	188	0.936170	1.048250	812	0.208128	0.345000	0.380704	
827	0.282950	173	0.867052	1.048250	827	0.282950	0.384000	0.380728	
839	0.288439	161	0.906832	1.048250	839	0.288439	0.388000	0.380779	
847	0.249115	153	0.928105	1.048250	847	0.249115	0.353000	0.380585	
840	0.280952	160	0.950000	1.048250	840	0.280952	0.388000	0.380636	
829	0.256936	171	0.888889	1.048250	829	0.256936	0.365000	0.380528	
812	0.289409	188	0.930851	1.048250	812	0.289409	0.410000	0.380730	
824	0.288835	176	0.914773	1.048250	824	0.288835	0.399000	0.380855	
826	0.285714	174	0.936782	1.048250	826	0.285714	0.399000	0.380977	
845	0.231953	155	0.903226	1.048250	845	0.231953	0.336000	0.380675	
816	0.278186	184	0.929348	1.048250	816	0.278186	0.398000	0.380791	
821	0.247259	179	0.921788	1.048250	821	0.247259	0.368000	0.380706	
812	0.241379	188	0.930851	1.048250	812	0.241379	0.371000	0.380642	
834	0.286571	166	0.921687	1.048250	834	0.286571	0.392000	0.380716	
810	0.301235	190	0.889474	1.048250	810	0.301235	0.413000	0.380926	
823	0.290401	177	0.915254	1.048250	823	0.290401	0.401000	0.381056	
814	0.299754	186	0.919355	1.048250	814	0.299754	0.415000	0.381273	
826	0.285714	174	0.902299	1.048250	826	0.285714	0.393000	0.381348	
817	0.257038	183	0.928962	1.048250	817	0.257038	0.380000	0.381339	
823	0.267315	177	0.920904	1.048250	823	0.267315	0.383000	0.381350	
824	0.275485	176	0.931818	1.048250	824	0.275485	0.391000	0.381410	
823	0.188335	177	0.954802	1.048250	823	0.188335	0.324000	0.381054	
826	0.325666	174	0.873563	0.866296	826	0.325666	0.421000	0.381300	
837	0.339307	163	0.858896	0.866296	837	0.339307	0.424000	0.381562	
847	0.323495	153	0.928105	0.866296	847	0.323495	0.416000	0.381772	
818	0.320293	182	0.917582	0.866296	818	0.320293	0.429000	0.382058	
818	0.317848	182	0.917582	0.866296	818	0.317848	0.427000	0.382329	
828	0.321256	172	0.912791	0.866296	828	0.321256	0.423000	0.382573	
832	0.378606	168	0.934524	0.866296	832	0.378606	0.472000	0.383105	
827	0.322854	173	0.965318	0.866296	827	0.322854	0.434000	0.383406	
832	0.325721	168	0.934524	0.866296	832	0.325721	0.428000	0.383668	
816	0.328431	184	0.907609	0.866296	816	0.328431	0.435000	0.383969	
816	0.263480	184	0.891304	0.866296	816	0.263480	0.379000	0.383940	
816	0.348039	184	0.869565	0.866296	816	0.348039	0.444000	0.384287	
827	0.339782	173	0.907514	0.866296	827	0.339782	0.438000	0.384595	
830	0.315663	170	0.900000	0.866296	830	0.315663	0.415000	0.384769	
829	0.328106	171	0.842105	0.866296	829	0.328106	0.416000	0.384947	
820	0.341463	180	0.905556	0.866296	820	0.341463	0.443000	0.385275	
824	0.344660	176	0.937500	0.866296	824	0.344660	0.449000	0.385633	
826	0.346247	174	0.862069	0.866296	826	0.346247	0.436000	0.385914	
838	0.360382	162	0.895062	0.866296	838	0.360382	0.447000	0.386253	
834	0.360911	166	0.957831	0.866296	834	0.360911	0.460000	0.386661	
850	0.356471	150	0.900000	0.866296	850	0.356471	0.438000	0.386943	
854	0.360656	146	0.897260	0.866296	854	0.360656	0.439000	0.387227	
845	0.376331	155	0.883871	0.866296	845	0.376331	0.455000	0.387596	
820	0.309756	180	0.877778	0.866296	820	0.309756	0.412000	0.387728	
838	0.325776	162	0.932099	0.866296	838	0.325776	0.424000	0.387923	
814	0.332924	186	0.903226	0.866296	814	0.332924	0.439000	0.388196	
818	0.343521	182	0.950549	0.866296	818	0.343521	0.454000	0.388546	
825	0.313939	175	0.897143	0.866296	825	0.313939	0.416000	0.388691	
834	0.371703	166	0.933735	0.866296	834	0.371703	0.465000	0.389093	
844	0.350711	156	0.935897	0.866296	844	0.350711	0.442000	0.389370	
833	0.346939	167	0.916168	0.866296	833	0.346939	0.442000	0.389644	
827	0.351874	173	0.919075	0.866296	827	0.351874	0.450000	0.389957	
833	0.370948	167	0.910180	0.866296	833	0.370948	0.461000	0.390323	
826	0.329298	174	0.942529	0.866296	826	0.329298	0.436000	0.390557	
835	0.355689	165	0.890909	0.866296	835	0.355689	0.444000	0.390830	
834	0.366906	166	0.885542	0.866296	834	0.366906	0.453000	0.391145	
837	0.348865	163	0.920245	0.866296	837	0.348865	0.442000	0.391402	
827	0.359129	173	0.861272	0.866296	827	0.359129	0.446000	0.391676	
843	0.309609	157	0.891720	0.866296	843	0.309609	0.401000	0.391723	
825	0.326061	175	0.908571	0.866296	825	0.326061	0.428000	0.391904	
818	0.321516	182	0.879121	0.866296	818	0.321516	0.423000	0.392057	
830	0.314458	170	0.935294	0.866296	830	0.314458	0.420000	0.392195	
847	0.324675	153	0.921569	0.866296	847	0.324675	0.416000	0.392312	
849	0.307420	151	0.874172	0.866296	849	0.307420	0.393000	0.392315	
823	0.328068	177	0.926554	0.866296	823	0.328068	0.434000	0.392518	
828	0.379227	172	0.901163	0.866296	828	0.379227	0.469000	0.392887	
825	0.336970	175	0.937143	0.866296	825	0.336970	0.442000	0.393123	
838	0.352029	162	0.907407	0.866296	838	0.352029	0.442000	0.393357	
839	0.353993	161	0.913043	0.866296	839	0.353993	0.444000	0.393598	
836	0.334928	164	0.914634	0.866296	836	0.334928	0.430000	0.393771	
832	0.347356	168	0.898810	0.866296	832	0.347356	0.440000	0.393989	
822	0.345499	178	0.926966	0.866296	822	0.345499	0.449000	0.394247	
833	0.342137	167	0.934132	0.866296	833	0.342137	0.441000	0.394465	
816	0.343137	184	0.961957	0.866296	816	0.343137	0.457000	0.394756	
849	0.345112	151	0.920530	0.866296	849	0.345112	0.432000	0.394929	
821	0.344702	179	0.949721	0.866296	821	0.344702	0.453000	0.395196	
833	0.332533	167	0.904192	0.866296	833	0.332533	0.428000	0.395347	
823	0.291616	177	0.926554	0.866296	823	0.291616	0.404000	0.395386	
825	0.315152	175	0.885714	0.866296	825	0.315152	0.415000	0.395475	
822	0.412409	178	0.910112	0.866296	822	0.412409	0.501000	0.395953	
830	0.214458	170	0.941176	1.199767	830	0.214458	0.338000	0.395692	
836	0.187799	164	0.920732	1.199767	836	0.187799	0.308000	0.395299	
