Options:
Model:                           MultiState
Tree File Name:                  data/jan_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/jan_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3595566285
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/jan_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q02 - uniform 0.00 100.00 
        q03 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q20 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q23 - uniform 0.00 100.00 
        q30 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q32 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       2458
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-3903.263548	1	14.398807	58.416981	25.803723	60.771622	13.253044	22.291433	90.468192	51.217489	94.481014	6.013195	15.304968	6.103982	0.250000	0.250000	0.250000	0.250000	
1000	-1165.607160	1	5.531757	1.263851	2.959679	57.238005	33.933812	51.674551	87.866118	12.309539	95.982406	88.045921	9.142338	66.879437	0.250000	0.250000	0.250000	0.250000	
2000	-1165.203601	1	5.249103	0.342578	2.598985	90.764807	17.892622	67.462188	76.901478	20.695439	45.636243	30.751970	35.879026	65.426448	0.250000	0.250000	0.250000	0.250000	
3000	-1165.004429	1	1.130502	1.600381	5.672902	63.039058	54.130405	82.139541	76.225697	76.473729	67.894478	69.160536	85.459210	54.153031	0.250000	0.250000	0.250000	0.250000	
4000	-1163.425211	1	5.384510	0.437308	0.549208	66.544529	24.709870	53.757162	47.962596	26.150159	20.912028	37.734896	1.232700	21.724936	0.250000	0.250000	0.250000	0.250000	
5000	-1163.407255	1	4.713382	1.350538	2.712084	86.323637	68.981219	53.321354	27.204054	99.106351	88.919433	76.369252	21.104434	32.596855	0.250000	0.250000	0.250000	0.250000	
6000	-1164.638902	1	0.794135	3.262013	4.529945	48.213390	36.416758	46.462319	57.326650	81.534209	39.912520	83.570936	53.529445	10.162457	0.250000	0.250000	0.250000	0.250000	
7000	-1164.761498	1	0.387875	0.691117	9.067318	75.721278	49.495612	2.185099	86.298525	95.350088	3.200007	79.763815	64.870041	9.132466	0.250000	0.250000	0.250000	0.250000	
8000	-1163.674960	1	1.437519	1.017020	2.651531	31.828106	65.433060	0.652465	99.562842	21.977782	54.900021	20.543283	43.328182	15.134040	0.250000	0.250000	0.250000	0.250000	
9000	-1163.402990	1	0.592651	0.263354	6.361902	12.944264	29.477039	2.146063	93.006133	31.703335	20.461623	74.169574	6.369284	43.084788	0.250000	0.250000	0.250000	0.250000	
10000	-1163.508863	1	3.673828	1.837836	0.362269	58.525891	34.889871	6.368750	71.508967	26.333578	73.625213	19.276023	2.432358	27.535510	0.250000	0.250000	0.250000	0.250000	
11000	-1162.988435	1	0.560238	0.648863	8.250794	68.095673	28.456002	67.513368	76.715003	92.159338	74.261011	81.881186	77.551999	75.369668	0.250000	0.250000	0.250000	0.250000	
12000	-1165.156725	1	2.605815	2.767556	2.242850	66.121307	28.446670	13.968245	66.340671	29.244197	96.675552	61.663367	13.021311	31.102223	0.250000	0.250000	0.250000	0.250000	
13000	-1164.981440	1	5.966873	1.050457	5.349806	85.950077	61.651200	60.482379	57.510355	79.850610	77.013133	99.497190	30.375070	41.663780	0.250000	0.250000	0.250000	0.250000	
14000	-1165.598396	1	4.855100	0.260690	2.158480	89.162440	11.289827	66.618492	27.094266	43.516223	19.274465	27.723322	46.503728	18.644229	0.250000	0.250000	0.250000	0.250000	
15000	-1163.470871	1	3.518190	1.326489	3.394063	68.794922	45.631827	94.033141	43.015326	80.087824	68.514193	60.163658	63.314038	27.184776	0.250000	0.250000	0.250000	0.250000	
16000	-1164.115424	1	3.190512	0.883598	5.565610	59.532026	63.668069	38.424694	70.077760	99.121710	61.087573	97.343070	15.596622	57.204841	0.250000	0.250000	0.250000	0.250000	
17000	-1163.083324	1	2.607544	1.044750	4.456015	35.015060	27.720494	56.377232	88.139474	55.090568	81.254003	74.727505	29.848989	54.654993	0.250000	0.250000	0.250000	0.250000	
18000	-1163.446498	1	3.726618	1.476204	4.819070	77.015576	38.192044	78.723748	39.598198	30.624113	88.834065	92.973499	59.371065	9.632598	0.250000	0.250000	0.250000	0.250000	
19000	-1163.142139	1	0.752981	3.380205	5.392794	78.490227	37.220254	75.878192	84.648371	94.377160	61.272489	69.522963	86.624353	9.772279	0.250000	0.250000	0.250000	0.250000	
20000	-1167.011129	1	2.023915	1.401053	6.866355	71.520327	5.466200	74.353581	65.693000	70.176227	65.977454	85.886176	85.935029	38.463320	0.250000	0.250000	0.250000	0.250000	
21000	-1163.507779	1	1.673469	0.534700	5.195149	78.209329	50.675669	38.271003	16.488764	77.414880	36.657634	56.840904	56.706141	17.376916	0.250000	0.250000	0.250000	0.250000	
22000	-1165.490402	1	4.734209	0.993449	1.342701	66.622922	43.763751	46.001006	29.644612	94.144238	76.598668	66.696766	11.899892	30.068474	0.250000	0.250000	0.250000	0.250000	
23000	-1166.311430	1	2.641171	1.790558	1.381257	69.647512	22.029025	24.676084	60.469786	50.829329	69.157258	33.052672	17.427751	36.993680	0.250000	0.250000	0.250000	0.250000	
24000	-1166.254954	1	2.629866	0.585217	7.148244	57.418298	45.553028	42.496355	79.451701	52.822630	55.388584	86.405390	25.998163	67.806522	0.250000	0.250000	0.250000	0.250000	
