Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1	0.000000	0.215756	1	0.000000	0.000000	0.000000	
1000	0.568000	0.215756	1001	0.567433	0.568000	0.567433	
1000	0.499000	0.258507	1000	0.499000	0.499000	0.533233	
1000	0.423000	0.330190	1000	0.423000	0.423000	0.496501	
1000	0.280000	0.519395	1000	0.280000	0.280000	0.442389	
1000	0.242000	0.519395	1000	0.242000	0.242000	0.402320	
1000	0.263000	0.519395	1000	0.263000	0.263000	0.379103	
1000	0.267000	0.519395	1000	0.267000	0.267000	0.363091	
1000	0.223000	0.519395	1000	0.223000	0.223000	0.345582	
1000	0.296000	0.519395	1000	0.296000	0.296000	0.340073	
1000	0.232000	0.519395	1000	0.232000	0.232000	0.329267	
1000	0.263000	0.519395	1000	0.263000	0.263000	0.323243	
1000	0.262000	0.519395	1000	0.262000	0.262000	0.318140	
1000	0.235000	0.519395	1000	0.235000	0.235000	0.311745	
1000	0.259000	0.519395	1000	0.259000	0.259000	0.307978	
1000	0.297000	0.519395	1000	0.297000	0.297000	0.307246	
1000	0.284000	0.519395	1000	0.284000	0.284000	0.305793	
1000	0.239000	0.519395	1000	0.239000	0.239000	0.301865	
1000	0.282000	0.519395	1000	0.282000	0.282000	0.300761	
1000	0.289000	0.519395	1000	0.289000	0.289000	0.300142	
1000	0.282000	0.519395	1000	0.282000	0.282000	0.299235	
1000	0.253000	0.519395	1000	0.253000	0.253000	0.297033	
1000	0.290000	0.519395	1000	0.290000	0.290000	0.296714	
1000	0.281000	0.519395	1000	0.281000	0.281000	0.296031	
1000	0.271000	0.519395	1000	0.271000	0.271000	0.294988	
1000	0.285000	0.519395	1000	0.285000	0.285000	0.294588	
1000	0.283000	0.519395	1000	0.283000	0.283000	0.294143	
1000	0.272000	0.519395	1000	0.272000	0.272000	0.293322	
1000	0.316000	0.519395	1000	0.316000	0.316000	0.294132	
1000	0.204000	0.519395	1000	0.204000	0.204000	0.291024	
1000	0.241000	0.519395	1000	0.241000	0.241000	0.289357	
1000	0.267000	0.519395	1000	0.267000	0.267000	0.288636	
1000	0.289000	0.519395	1000	0.289000	0.289000	0.288647	
1000	0.233000	0.519395	1000	0.233000	0.233000	0.286961	
1000	0.285000	0.519395	1000	0.285000	0.285000	0.286903	
1000	0.299000	0.519395	1000	0.299000	0.299000	0.287249	
1000	0.285000	0.519395	1000	0.285000	0.285000	0.287186	
1000	0.289000	0.519395	1000	0.289000	0.289000	0.287235	
1000	0.249000	0.519395	1000	0.249000	0.249000	0.286229	
1000	0.257000	0.519395	1000	0.257000	0.257000	0.285480	
1000	0.295000	0.519395	1000	0.295000	0.295000	0.285718	
1000	0.278000	0.519395	1000	0.278000	0.278000	0.285530	
1000	0.280000	0.519395	1000	0.280000	0.280000	0.285398	
1000	0.284000	0.519395	1000	0.284000	0.284000	0.285365	
1000	0.253000	0.519395	1000	0.253000	0.253000	0.284630	
1000	0.272000	0.519395	1000	0.272000	0.272000	0.284349	
1000	0.242000	0.519395	1000	0.242000	0.242000	0.283429	
1000	0.254000	0.519395	1000	0.254000	0.254000	0.282802	
1000	0.230000	0.519395	1000	0.230000	0.230000	0.281702	
1000	0.282000	0.519395	1000	0.282000	0.282000	0.281709	
1000	0.274000	0.519395	1000	0.274000	0.274000	0.281554	
1000	0.256000	0.519395	1000	0.256000	0.256000	0.281053	
1000	0.260000	0.519395	1000	0.260000	0.260000	0.280648	
1000	0.271000	0.519395	1000	0.271000	0.271000	0.280466	
1000	0.280000	0.519395	1000	0.280000	0.280000	0.280458	
1000	0.262000	0.519395	1000	0.262000	0.262000	0.280122	
1000	0.251000	0.519395	1000	0.251000	0.251000	0.279602	
1000	0.253000	0.519395	1000	0.253000	0.253000	0.279135	
1000	0.279000	0.519395	1000	0.279000	0.279000	0.279133	
1000	0.251000	0.519395	1000	0.251000	0.251000	0.278656	
1000	0.275000	0.519395	1000	0.275000	0.275000	0.278595	
1000	0.265000	0.519395	1000	0.265000	0.265000	0.278372	
1000	0.293000	0.519395	1000	0.293000	0.293000	0.278608	
1000	0.265000	0.519395	1000	0.265000	0.265000	0.278392	
1000	0.266000	0.519395	1000	0.266000	0.266000	0.278199	
1000	0.302000	0.519395	1000	0.302000	0.302000	0.278565	
1000	0.261000	0.519395	1000	0.261000	0.261000	0.278299	
1000	0.265000	0.519395	1000	0.265000	0.265000	0.278100	
1000	0.235000	0.519395	1000	0.235000	0.235000	0.277467	
1000	0.303000	0.519395	1000	0.303000	0.303000	0.277837	
1000	0.281000	0.519395	1000	0.281000	0.281000	0.277882	
1000	0.263000	0.519395	1000	0.263000	0.263000	0.277672	
1000	0.245000	0.519395	1000	0.245000	0.245000	0.277218	
1000	0.280000	0.519395	1000	0.280000	0.280000	0.277256	
1000	0.277000	0.519395	1000	0.277000	0.277000	0.277253	
1000	0.265000	0.519395	1000	0.265000	0.265000	0.277090	
1000	0.260000	0.519395	1000	0.260000	0.260000	0.276865	
1000	0.265000	0.519395	1000	0.265000	0.265000	0.276711	
1000	0.262000	0.519395	1000	0.262000	0.262000	0.276522	
1000	0.276000	0.519395	1000	0.276000	0.276000	0.276515	
1000	0.281000	0.519395	1000	0.281000	0.281000	0.276572	
1000	0.276000	0.519395	1000	0.276000	0.276000	0.276564	
1000	0.268000	0.519395	1000	0.268000	0.268000	0.276460	
1000	0.245000	0.519395	1000	0.245000	0.245000	0.276081	
1000	0.286000	0.519395	1000	0.286000	0.286000	0.276199	
1000	0.212000	0.519395	1000	0.212000	0.212000	0.275444	
1000	0.280000	0.519395	1000	0.280000	0.280000	0.275497	
1000	0.269000	0.519395	1000	0.269000	0.269000	0.275422	
1000	0.258000	0.519395	1000	0.258000	0.258000	0.275224	
1000	0.258000	0.519395	1000	0.258000	0.258000	0.275031	
1000	0.272000	0.519395	1000	0.272000	0.272000	0.274997	
1000	0.296000	0.519395	1000	0.296000	0.296000	0.275228	
1000	0.231000	0.519395	1000	0.231000	0.231000	0.274747	
1000	0.270000	0.519395	1000	0.270000	0.270000	0.274696	
1000	0.256000	0.519395	1000	0.256000	0.256000	0.274497	
1000	0.271000	0.519395	1000	0.271000	0.271000	0.274460	
1000	0.283000	0.519395	1000	0.283000	0.283000	0.274549	
1000	0.278000	0.519395	1000	0.278000	0.278000	0.274585	
1000	0.260000	0.519395	1000	0.260000	0.260000	0.274436	
1000	0.272000	0.519395	1000	0.272000	0.272000	0.274411	
1000	0.265000	0.519395	1000	0.265000	0.265000	0.274317	
1000	0.300000	0.519395	1000	0.300000	0.300000	0.274572	
1000	0.270000	0.519395	1000	0.270000	0.270000	0.274527	
1000	0.262000	0.519395	1000	0.262000	0.262000	0.274405	
1000	0.282000	0.519395	1000	0.282000	0.282000	0.274478	
1000	0.286000	0.519395	1000	0.286000	0.286000	0.274588	
1000	0.253000	0.519395	1000	0.253000	0.253000	0.274384	
1000	0.285000	0.519395	1000	0.285000	0.285000	0.274483	
1000	0.309000	0.519395	1000	0.309000	0.309000	0.274803	
1000	0.249000	0.519395	1000	0.249000	0.249000	0.274566	
1000	0.265000	0.519395	1000	0.265000	0.265000	0.274479	
1000	0.255000	0.519395	1000	0.255000	0.255000	0.274304	
1000	0.249000	0.519395	1000	0.249000	0.249000	0.274078	
1000	0.279000	0.519395	1000	0.279000	0.279000	0.274121	
1000	0.296000	0.519395	1000	0.296000	0.296000	0.274313	
1000	0.274000	0.519395	1000	0.274000	0.274000	0.274311	
1000	0.267000	0.519395	1000	0.267000	0.267000	0.274248	
1000	0.248000	0.519395	1000	0.248000	0.248000	0.274023	
1000	0.289000	0.519395	1000	0.289000	0.289000	0.274150	
1000	0.225000	0.519395	1000	0.225000	0.225000	0.273737	
1000	0.253000	0.519395	1000	0.253000	0.253000	0.273564	
1000	0.268000	0.519395	1000	0.268000	0.268000	0.273518	
1000	0.224000	0.519395	1000	0.224000	0.224000	0.273113	
1000	0.234000	0.519395	1000	0.234000	0.234000	0.272795	
1000	0.288000	0.519395	1000	0.288000	0.288000	0.272917	
1000	0.239000	0.519395	1000	0.239000	0.239000	0.272646	
1000	0.229000	0.519395	1000	0.229000	0.229000	0.272299	
1000	0.264000	0.519395	1000	0.264000	0.264000	0.272234	
