q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
3.190698,2.339909,3.297106,86.166546,70.16677,98.363488,25.982781,80.433115,71.940897,80.842404,74.443726,1.810055
3.942069,1.665561,1.076846,72.418958,26.347671,59.346759,83.007588,70.15417,53.969486,47.513721,8.716952,27.262129
1.249149,1.287942,3.548978,24.659491,71.590472,63.325174,79.737345,82.700757,66.853837,40.520541,78.578136,35.332364
2.124575,0.956406,3.184744,19.879378,29.35016,96.650861,56.845666,67.686202,63.823464,78.444529,58.437479,29.360963
3.534233,0.305248,1.01209,31.189074,63.591802,34.157154,77.404863,71.834739,85.117213,32.855456,27.898038,40.214903
4.085013,0.529436,1.53141,34.39497,53.897041,88.235448,78.405578,89.666706,46.326113,41.245596,57.146215,49.673405
0.967664,1.824365,7.337934,63.45637,30.77752,46.100763,59.991794,84.964272,64.870417,88.025835,51.918966,32.341402
1.181804,1.259389,1.300013,1.574423,76.422138,26.705591,54.660735,90.072182,92.999504,34.404191,29.81391,28.949596
6.038843,1.86138,3.808816,93.917382,78.172786,64.054013,87.88937,35.147391,78.073338,78.513513,37.770251,5.661162
3.467372,1.321899,4.492132,97.142242,23.914361,64.559419,49.707526,70.247071,45.313235,72.432547,55.12476,32.324373
3.046974,0.435163,7.353028,65.31681,0.534919,70.002465,71.386693,33.564748,79.578611,96.187378,13.548427,70.742279
1.356932,2.657598,4.095673,87.705766,1.418789,31.44686,69.371067,62.994804,51.616304,32.93281,63.96398,25.549124
4.606576,1.499568,4.052358,86.853298,17.264295,76.890973,38.318788,1.655212,65.109803,98.948554,68.450054,12.428663
4.113264,2.992038,4.366184,75.445542,17.717223,76.294652,68.764325,2.719991,76.082051,81.753907,60.33734,4.866985
0.69248,0.088751,9.982158,38.339625,45.063977,52.734801,98.635459,13.720373,18.805111,78.160272,57.805601,27.802587
1.511857,0.128048,2.431835,3.445876,88.982458,62.619546,63.254019,70.446367,95.703751,31.192676,51.874001,52.986817
0.530481,3.444098,5.323907,18.733589,18.153361,30.633363,92.900118,64.053571,29.583223,86.393785,18.999695,20.7869
1.210834,4.276588,4.23414,39.975098,40.751692,15.405601,90.255712,65.475581,77.221738,95.88107,16.469463,1.979501
0.167568,2.665424,3.378072,82.857011,27.747097,50.741397,80.049785,96.209151,90.320514,6.897389,89.781639,26.139234
0.193082,0.076933,5.505275,92.636326,49.097436,43.19761,34.866158,64.432348,40.828986,16.381687,93.649218,12.19623
0.273551,0.124583,5.522928,95.579683,20.856792,69.112497,80.108807,62.533893,67.521138,2.434628,89.470085,75.779833
4.661917,0.586642,4.76538,69.256443,1.133709,80.830794,88.346415,11.708919,66.15853,78.481747,15.010062,66.663309
3.368271,0.31015,3.9367,34.850661,43.083676,99.046192,79.710372,60.508947,4.32751,74.305965,29.041085,21.461531
4.030869,1.316035,6.777916,97.808367,57.152732,80.77539,85.730924,80.059481,2.526441,77.169698,67.430211,17.811571
3.142403,0.030717,4.365697,80.08738,33.826126,50.722526,8.826128,27.011977,64.611499,74.810068,52.228942,19.017473
1.832898,0.458973,5.024795,69.401038,15.535804,54.431183,32.233369,3.960734,87.73384,55.542293,78.311029,31.158429
1.104071,3.051383,0.458637,43.538466,13.092109,15.548637,76.573039,4.823783,66.791657,9.630461,31.006461,8.348046
0.955599,2.11239,4.744541,25.782681,23.53992,28.139191,71.442301,76.455106,99.858668,92.028551,21.452595,42.539594
3.800612,1.397473,0.648138,61.644312,49.118439,54.945948,93.534205,88.735569,57.671378,19.850947,18.586405,42.47899
1.845602,1.392548,1.983034,27.110608,55.319895,51.629915,82.497134,80.41865,50.690648,26.234388,49.749154,15.141163
2.316057,0.364285,7.084875,64.816541,13.974574,21.631266,62.582448,18.273651,43.262635,75.091455,48.601214,30.683422
0.096066,0.229904,6.388355,63.148909,26.375184,16.369082,70.310938,72.978726,54.370465,42.926998,39.314595,53.949463
4.339482,1.098802,2.021929,47.36133,76.254293,40.187506,93.41064,67.028393,17.309622,53.178052,15.43261,5.326347
2.121808,2.757687,5.421832,82.956951,41.478736,92.791942,59.419279,91.674784,62.443271,72.31363,59.303612,18.066351
2.739198,0.880793,2.8956,83.921608,51.706307,58.332355,29.213562,77.230227,30.806936,30.778753,70.17281,7.095926
6.950799,0.278898,0.604221,56.408088,96.482909,99.513563,74.643061,66.053427,77.33709,48.607299,42.521274,34.151947
9.042666,0.690595,0.278855,75.428032,73.006303,68.706491,87.510028,12.512546,82.286445,59.937672,18.917164,12.751697
3.043806,0.528478,5.217071,66.94185,76.998168,60.903221,71.112753,67.124858,46.791256,61.869758,95.029762,16.049366
2.033627,0.647678,2.467643,73.287078,89.050931,47.045227,64.620178,92.932394,36.546369,8.927655,54.150176,26.868658
2.472807,3.054417,4.774037,68.746767,5.980695,20.805837,66.657181,61.820718,84.716384,94.613832,6.182915,34.309867
4.452543,2.505158,2.478482,63.277,25.22354,61.219271,94.273675,81.65867,66.80458,71.927764,20.486666,26.398381
3.122648,0.245064,4.627447,50.087658,16.386124,98.699052,32.794693,10.433819,67.489406,85.304985,71.586585,31.306561
4.185879,1.215723,1.333964,74.988098,76.645302,52.250312,99.115579,75.425306,99.784199,19.646913,74.930018,7.243139
5.997303,1.33818,2.509467,48.701549,42.173646,57.881623,84.13668,22.319879,32.692214,90.350438,19.037175,1.173725
