Options:
Model:                           MultiState
Tree File Name:                  data/zun_genus_phylo_nat_26-09-24_class.tre
Data File Name:                  data/zun_genus_phylo_nat_26-09-24_class.txt
Log File Name:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            508558541
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         0
MCMC ML Start:                   False
Schedule File:                   data/zun_genus_phylo_nat_26-09-24_class.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               0,1,2,3
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q01                          None
    q02                          None
    q03                          None
    q10                          None
    q12                          None
    q13                          None
    q20                          None
    q21                          None
    q23                          None
    q30                          None
    q31                          None
    q32                          None
Prior Information:
    Prior Categories:            100
    Priors
        q01 - uniform 0.00 100.00 
        q02 - uniform 0.00 100.00 
        q03 - uniform 0.00 100.00 
        q10 - uniform 0.00 100.00 
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q20 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q23 - uniform 0.00 100.00 
        q30 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q32 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       2162
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q01	q02	q03	q10	q12	q13	q20	q21	q23	q30	q31	q32	Root P(0)	Root P(1)	Root P(2)	Root P(3)	
0	-2979.524015	1	6.783308	1.685089	3.956905	12.558624	68.836169	17.691239	27.684003	0.557418	7.686780	0.224445	3.911338	0.051182	0.250000	0.250000	0.250000	0.250000	
1000	-1048.805515	1	0.317171	0.213891	0.005641	20.703963	0.051045	0.932900	0.125366	0.423434	5.759051	0.155136	3.190208	0.003266	0.250000	0.250000	0.250000	0.250000	
2000	-1041.886523	1	0.781188	2.010085	0.092238	56.760918	0.050621	61.354403	0.005701	24.314426	33.113367	0.015346	78.703495	0.002761	0.250000	0.250000	0.250000	0.250000	
3000	-1040.266918	1	1.976576	0.929755	0.663044	69.893299	0.018468	51.042539	0.006141	5.452041	48.932916	0.036058	61.233674	0.007788	0.250000	0.250000	0.250000	0.250000	
4000	-1042.794783	1	0.738279	0.873431	0.436348	47.707800	0.285031	29.582675	0.003670	26.317911	31.167417	0.039186	27.857350	0.121827	0.250000	0.250000	0.250000	0.250000	
5000	-1039.167033	1	0.010342	0.977201	2.604091	71.222911	7.718886	10.393175	0.033208	50.678657	12.769254	0.032710	44.661803	0.114817	0.250000	0.250000	0.250000	0.250000	
6000	-1036.817916	1	0.014361	1.849043	1.025584	62.713233	9.432773	19.778873	0.055197	59.436141	36.973482	0.737710	44.888307	3.338117	0.250000	0.250000	0.250000	0.250000	
7000	-1039.570347	1	0.087379	1.286576	6.103830	56.287482	30.728687	8.134931	80.150980	91.165467	26.771430	40.763144	24.356187	66.613123	0.250000	0.250000	0.250000	0.250000	
8000	-1037.059626	1	0.016522	1.935986	5.990311	97.007985	40.494323	5.303976	61.818447	62.752654	75.017360	40.141019	55.337959	23.513429	0.250000	0.250000	0.250000	0.250000	
9000	-1039.247309	1	2.195473	1.029961	2.713230	21.667440	11.203818	89.992640	56.942452	70.740952	85.979119	47.587571	41.357382	55.005136	0.250000	0.250000	0.250000	0.250000	
