Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1	1.000000	8.399389	1	1.000000	1.000000	1.000000	
1000	0.006000	8.399389	1001	0.006993	0.006000	0.006993	
1000	0.005000	5.000000	1000	0.005000	0.005000	0.005997	
1000	0.001000	4.802771	1000	0.001000	0.001000	0.004332	
1000	0.002000	3.921865	1000	0.002000	0.002000	0.003749	
1000	0.006000	3.824171	1000	0.006000	0.006000	0.004199	
1000	0.008000	3.099353	1000	0.008000	0.008000	0.004833	
1000	0.028000	2.146055	1000	0.028000	0.028000	0.008142	
1000	0.006000	2.130131	1000	0.006000	0.006000	0.007874	
1000	0.038000	1.524671	1000	0.038000	0.038000	0.011221	
1000	0.080000	0.863307	1000	0.080000	0.080000	0.018098	
1000	0.122000	0.757137	1000	0.122000	0.122000	0.027543	
1000	0.173000	0.669982	1000	0.173000	0.173000	0.039663	
1000	0.223000	0.654209	1000	0.223000	0.223000	0.053765	
1000	0.172000	0.654209	1000	0.172000	0.172000	0.062210	
1000	0.313000	0.439977	1000	0.313000	0.313000	0.078928	
1000	0.351000	0.439977	1000	0.351000	0.351000	0.095932	
1000	0.339000	0.439977	1000	0.339000	0.339000	0.110229	
1000	0.364000	0.439977	1000	0.364000	0.364000	0.124326	
1000	0.363000	0.439977	1000	0.363000	0.363000	0.136888	
1000	0.343000	0.439977	1000	0.343000	0.343000	0.147193	
1000	0.344000	0.439977	1000	0.344000	0.344000	0.156564	
1000	0.351000	0.439977	1000	0.351000	0.351000	0.165402	
1000	0.353000	0.439977	1000	0.353000	0.353000	0.173558	
1000	0.328000	0.439977	1000	0.328000	0.328000	0.179993	
1000	0.342000	0.439977	1000	0.342000	0.342000	0.186473	
1000	0.307000	0.439977	1000	0.307000	0.307000	0.191108	
1000	0.320000	0.439977	1000	0.320000	0.320000	0.195882	
1000	0.356000	0.439977	1000	0.356000	0.356000	0.201600	
1000	0.346000	0.439977	1000	0.346000	0.346000	0.206579	
1000	0.336000	0.439977	1000	0.336000	0.336000	0.210893	
1000	0.337000	0.439977	1000	0.337000	0.337000	0.214961	
1000	0.334000	0.439977	1000	0.334000	0.334000	0.218681	
1000	0.367000	0.439977	1000	0.367000	0.367000	0.223175	
1000	0.361000	0.439977	1000	0.361000	0.361000	0.227229	
1000	0.372000	0.439977	1000	0.372000	0.372000	0.231365	
1000	0.324000	0.439977	1000	0.324000	0.324000	0.233938	
1000	0.338000	0.439977	1000	0.338000	0.338000	0.236750	
1000	0.333000	0.439977	1000	0.333000	0.333000	0.239283	
1000	0.344000	0.439977	1000	0.344000	0.344000	0.241968	
1000	0.367000	0.439977	1000	0.367000	0.367000	0.245094	
1000	0.353000	0.439977	1000	0.353000	0.353000	0.247726	
1000	0.318000	0.439977	1000	0.318000	0.318000	0.249399	
1000	0.366000	0.439977	1000	0.366000	0.366000	0.252110	
1000	0.338000	0.439977	1000	0.338000	0.338000	0.254062	
1000	0.364000	0.439977	1000	0.364000	0.364000	0.256505	
1000	0.363000	0.439977	1000	0.363000	0.363000	0.258820	
1000	0.322000	0.439977	1000	0.322000	0.322000	0.260165	
1000	0.373000	0.439977	1000	0.373000	0.373000	0.262515	
1000	0.318000	0.439977	1000	0.318000	0.318000	0.263648	
1000	0.348000	0.439977	1000	0.348000	0.348000	0.265335	
1000	0.335000	0.439977	1000	0.335000	0.335000	0.266701	
