q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.128866,0.984819,6.988822,51.759533,12.559619,77.391452,50.300286,76.792385,47.471767,59.112003,81.081102,55.952749
0.466792,2.411588,5.731008,66.861254,5.568599,95.704688,74.933129,83.8965,91.361541,69.984991,90.710341,62.608734
1.274562,3.005856,1.732958,99.984126,27.765757,84.728527,37.285077,72.617129,76.84234,18.313598,84.593843,17.668376
1.029093,0.579612,4.185285,60.212493,46.886516,83.611287,80.954124,91.956795,40.439774,20.60166,76.036197,45.435353
2.791945,1.487997,4.365668,87.773846,79.384791,11.709939,40.882463,97.741825,60.568347,66.556366,18.133147,9.614653
1.012627,1.017013,4.579499,29.552763,63.282644,6.803421,70.134362,90.655774,33.696701,59.794651,11.364509,34.871292
1.898162,0.195877,5.466862,33.213709,67.485224,83.4886,62.960456,20.741411,54.7135,73.831381,55.491905,8.285247
3.587179,1.922728,2.707362,77.385199,78.622793,52.073773,80.353149,95.935299,89.131804,33.048589,57.991796,41.787589
0.949428,1.576389,7.879279,72.454285,15.428275,60.655877,78.372161,17.382915,67.753977,79.66742,76.624205,27.377426
0.83101,1.678397,7.477097,45.137327,64.85513,24.24029,91.85773,78.196983,71.166064,86.971652,37.989666,21.354505
3.287209,0.960033,5.020985,82.677863,83.04246,71.154164,39.285393,61.495599,83.152919,85.08784,41.804254,18.903093
3.415553,0.581307,3.11097,29.809181,30.717365,99.990832,85.484995,74.921064,4.957454,58.367205,41.772364,26.633851
0.114283,1.249951,5.446563,19.760829,30.784113,70.931961,85.194783,25.099727,16.117411,60.285299,76.253617,0.537905
0.230742,1.479586,8.531256,72.263555,49.220843,47.327481,87.188649,49.747404,12.249516,92.882036,91.035666,0.240932
0.291155,1.549216,8.894143,71.949756,46.987,54.032663,88.424995,48.801274,17.423716,90.124834,82.692854,8.561844
0.451794,2.968075,2.611097,56.689319,14.469359,27.294598,85.565184,91.675931,13.907121,12.548875,26.97525,25.559186
0.822729,2.255223,4.36531,63.539768,50.694322,48.08636,73.855867,77.637447,6.663047,40.215865,67.501957,2.063365
2.289526,1.111943,3.973626,51.292242,45.981273,60.956695,34.030533,23.745956,45.306424,73.386541,59.840806,3.118777
4.505632,0.153711,2.853742,39.991488,95.398693,88.985621,45.952645,43.67861,87.317873,77.968165,52.993898,3.635259
2.206062,0.044017,3.75537,23.533676,62.49532,80.856917,56.616294,40.622028,86.154048,59.926614,47.778841,51.296038
4.600787,0.452006,0.310924,63.163104,60.244673,28.517243,88.25297,17.82741,99.530179,20.743335,18.355395,20.896431
6.25248,0.82157,4.449078,94.073054,50.235698,42.734615,78.933417,82.3531,39.764976,79.010983,12.428541,18.633206
