q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
3.71676,1.356999,1.911534,60.643555,72.577567,37.94286,95.62227,70.494122,31.518009,9.221846,29.679408,1.21142
4.965421,0.374887,1.325499,78.299931,63.364314,94.811135,14.628877,94.282765,11.727157,21.341137,10.590657,4.622607
7.540927,0.380694,0.074054,65.331011,6.67094,83.521942,9.499269,5.621945,12.591444,42.118446,8.990757,0.393522
6.331195,0.34032,1.382899,79.589253,19.096602,64.000824,44.695464,60.374957,81.783011,10.896471,6.026558,22.216434
4.867504,0.409367,0.884263,92.985408,3.568559,95.197619,86.045302,43.610037,32.053811,6.99917,26.515597,7.647169
5.098995,0.385632,2.570261,89.654827,78.2424,76.715037,79.107554,60.596677,9.929705,19.843837,14.480349,5.723842
3.662596,0.972935,2.073937,96.934624,12.079522,80.934423,52.604532,3.372924,24.516274,11.548073,28.435057,1.569746
5.38931,0.054665,2.808654,57.736256,13.919266,56.93603,2.45472,49.43839,6.525382,9.80051,0.185216,13.135348
7.484591,0.463846,1.877135,85.921417,8.249662,71.529729,13.658152,32.539186,1.345418,17.638564,16.646963,4.314648
4.466171,0.480658,4.071709,89.327208,24.981191,20.627243,62.812045,48.571353,95.742576,8.067281,11.217498,34.108955
4.335167,0.027455,2.941027,98.232032,48.271488,35.89066,0.212862,97.506943,8.183226,27.270692,15.022971,7.733036
6.381295,0.588941,0.639997,90.891266,7.558974,55.391856,71.093846,18.631913,38.871459,16.818761,12.692565,10.692413
3.183434,1.409031,0.978962,56.382999,6.979443,90.518945,78.010611,82.032858,64.029836,16.420973,7.260801,16.12752
4.484762,0.427571,2.436601,97.626601,6.890831,31.835716,70.290531,57.021865,20.465305,21.406417,12.33089,9.507734
5.702044,1.56305,1.021454,54.281788,18.369121,59.550487,82.965628,29.157351,24.355111,29.236491,17.100451,20.136169
3.519475,0.091055,3.07992,80.887113,34.3032,2.14736,87.773837,56.159125,42.001988,19.450945,16.843655,0.197422
3.23701,0.01919,1.701738,3.87893,90.144452,54.786197,25.107164,82.319744,3.414207,45.451243,9.488786,0.806679
6.221894,0.404817,1.496312,71.466581,5.753373,31.204486,64.020045,23.861615,49.729124,10.65504,17.11288,22.979654
7.465259,1.108678,0.668445,47.760018,32.31422,95.078291,17.346129,27.55851,17.300027,24.905869,17.449523,0.506976
4.71417,0.139467,1.322369,64.411313,16.030503,48.416755,56.699034,7.995014,3.971157,14.863237,7.296272,17.970365
5.901184,0.270382,1.144127,63.121294,35.922003,59.401236,20.07994,0.574048,25.975169,16.149875,12.81527,1.22504
4.081589,0.364578,1.953975,95.746824,21.057539,30.902188,6.618814,64.235777,19.978272,13.970277,4.755416,16.709806
