q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.000351,0.000111,0.000185,0.009095,0.011297,0.012484,0.002937,0.023262,0.000879,0.017081,8.9e-05,5.6e-05
0.000285,0.000162,0.000206,0.009397,0.042977,0.003467,0.007507,0.060129,0.003165,0.01581,2.3e-05,2.5e-05
0.000173,0.000163,0.000282,0.013168,0.0043,0.006887,0.000846,0.021752,0.001702,0.012073,0.000233,0.001185
0.000265,5.5e-05,0.000289,0.000698,0.020939,0.003083,0.02146,0.020598,0.012114,0.012938,3.7e-05,0.001449
0.000396,7.9e-05,0.000226,0.002001,0.023707,0.000773,0.009309,0.022757,0.017058,0.016166,0.000231,3.6e-05
0.000304,9.9e-05,0.000258,0.00223,0.015992,3.2e-05,0.02381,0.014779,0.013417,0.01561,0.000244,7e-06
0.000245,0.000245,0.000227,0.003154,0.020042,0.002173,0.013243,0.040405,0.014608,0.015848,2.6e-05,2.5e-05
0.000171,0.000129,0.000272,0.00682,0.02255,0.007268,0.007779,0.035527,0.004933,0.017365,0.000105,9.5e-05
0.000135,0.000268,0.00043,0.002882,0.051039,0.000805,0.011021,0.064048,0.014947,0.017899,0.000528,0.000244
0.000241,0.000131,0.000278,0.002977,0.03277,0.002737,0.018619,0.048097,0.006341,0.017179,5.3e-05,6e-06
0.000224,0.000199,0.000112,0.001811,0.019868,0.001616,0.024436,0.018287,0.017049,0.016439,0.000644,0.000144
0.000365,8.6e-05,0.000185,0.0006,0.031893,0.000214,0.013319,0.024816,0.013686,0.014475,0.000628,0.000165
0.000274,5.9e-05,0.000252,0.00088,0.026649,0.006704,0.013472,0.038177,0.004432,0.019089,0.000467,0.000195
0.000315,0.000173,0.00017,0.00282,0.030706,0.000887,0.006798,0.033673,0.015383,0.017293,7.2e-05,6.3e-05
0.000144,0.000232,0.000292,0.01155,0.019036,0.007477,0.000135,0.03748,0.0008,0.017054,0.000214,0.000123
0.000396,0.000119,0.000131,0.005853,0.056346,0.008813,0.007002,0.089098,0.003812,0.016728,0.000202,0.000703
0.000334,7.6e-05,0.000267,0.000502,0.023017,0.003798,0.026296,0.031284,0.002026,0.014723,8e-06,0.000152
0.000106,0.000128,0.000146,0.008902,0.019987,0.003017,0.003295,0.033741,0.010427,0.016382,3e-05,0.000564
0.000279,8.1e-05,0.000249,0.014964,0.005681,0.004167,0.000693,0.021409,0.003783,0.01387,0.000355,0.000244
0.000161,9.2e-05,0.000458,0.013443,0.006445,0.005004,0.000374,0.016824,0.002115,0.01364,0.000157,0.000101
0.000189,0.000224,0.000339,0.014589,0.004977,0.00735,6.5e-05,0.021732,0.000365,0.014535,0.000804,0.000637
8.3e-05,0.000168,0.00026,0.021941,0.003782,0.001273,0.00121,0.015012,0.00485,0.015803,0.000127,0.000173
0.00029,4.6e-05,0.00027,0.012213,0.017376,0.003851,0.001352,0.032935,0.003422,0.015059,9.6e-05,0.000169
0.000383,0.000163,0.000191,0.000377,0.074872,0.009941,0.015025,0.092768,0.001489,0.014763,0.000399,0.000357
0.000269,0.000242,0.000463,0.003352,0.034634,0.005184,0.018322,0.067321,0.002287,0.014155,2.9e-05,0.001668
0.00019,0.00025,0.000221,0.000481,0.065738,0.000916,0.024931,0.097071,0.010862,0.013901,0.000374,0.001317
6.9e-05,0.000364,0.000212,0.002409,0.044641,0.002203,0.01175,0.071521,0.01188,0.015672,0.000144,0.000494
0.000253,0.000131,0.000323,0.000904,0.022941,0.003075,0.023138,0.023744,0.010872,0.01728,0.000489,0.00023
0.000132,9.5e-05,0.000291,5.7e-05,0.026833,0.000928,0.016633,0.031509,0.01352,0.015167,2.7e-05,0.00063
0.000227,0.000257,0.000297,5.3e-05,0.031804,0.005851,0.017733,0.048892,0.006912,0.015596,0.00036,0.000589
0.000245,7.2e-05,0.000262,0.003271,0.039471,0.005193,0.00987,0.078246,0.003709,0.014844,2.2e-05,3.9e-05
0.000475,1.2e-05,0.000235,0.000878,0.037287,0.000429,0.015689,0.043096,0.013738,0.015459,0.0,0.000431
0.000317,6e-05,0.000171,0.001151,0.057042,0.000948,0.014443,0.081607,0.013107,0.013115,1e-06,0.00056
0.000349,7.8e-05,0.000331,0.002694,0.030174,0.000763,0.015822,0.018413,0.013871,0.014006,4e-06,0.000534
0.000242,9.9e-05,0.000171,0.000641,0.034445,0.002972,0.018822,0.045588,0.011016,0.016064,2.1e-05,2.5e-05
0.000268,0.000121,0.000505,0.007435,0.033761,0.000384,0.006661,0.055582,0.012557,0.015468,6.6e-05,0.000414
0.00039,4.3e-05,0.000158,0.004791,0.032179,0.004086,0.003868,0.051277,0.016318,0.018624,0.000567,0.000583
6.6e-05,0.0003,0.000269,0.004164,0.040932,0.002546,0.008063,0.09994,0.010045,0.015196,0.000235,0.000885
0.000198,6.3e-05,0.00034,0.000497,0.024223,0.003414,0.014991,0.030524,0.011593,0.018617,0.00081,0.001387
0.00014,5.7e-05,0.000275,0.001112,0.029719,0.005378,0.01735,0.032256,0.000333,0.013369,0.000826,0.000262
0.00032,6.6e-05,0.000313,0.011263,0.007865,0.007571,0.001298,0.024005,0.001577,0.016167,0.001404,0.000305
0.000276,4e-05,0.000217,0.013635,0.029347,0.007014,0.006755,0.048649,0.001566,0.013269,0.000185,0.000266
0.000104,0.000251,0.000272,0.000106,0.033933,0.003189,0.013679,0.04974,0.010182,0.016361,0.000237,0.000653
0.00036,4.7e-05,0.000238,0.000351,0.034515,0.004924,0.020241,0.060558,0.003292,0.013778,0.000498,0.00042
0.000156,0.000163,0.000304,0.002087,0.054668,0.005276,0.01637,0.090784,0.005781,0.016217,0.000413,0.000257
0.000102,0.000119,0.00035,0.00051,0.010913,0.003428,0.024579,0.011924,0.003746,0.013516,0.00048,0.000423
0.000326,0.000162,9.1e-05,0.0066,0.043409,0.002238,0.007374,0.068027,0.019715,0.017817,2.9e-05,0.000464
0.000255,0.00016,0.000332,0.001852,0.026013,0.00107,0.018288,0.033738,0.008334,0.015483,5.1e-05,0.000439
0.000257,7.5e-05,0.000329,0.002033,0.010706,0.001425,0.010778,0.005028,0.010405,0.0166,0.001147,0.000338
0.00035,9.1e-05,0.000247,0.002923,0.032584,0.010817,0.011124,0.057909,0.001501,0.018122,0.000178,0.000169
0.000331,0.000118,0.00021,0.008138,0.019015,0.009548,0.002665,0.044883,0.003975,0.014759,5.2e-05,0.000692
0.000171,0.00015,0.00028,0.006864,0.052926,0.000331,0.007659,0.095191,0.012427,0.017469,9.8e-05,0.000133
0.00017,0.000156,0.000243,0.01125,0.05443,0.001069,0.002107,0.084593,0.009016,0.014904,0.000662,3e-05
0.000377,4.9e-05,0.000475,0.000511,0.045775,0.002779,0.005363,0.082636,0.03253,0.020568,0.001389,0.000148
0.000315,0.000112,0.000139,0.009993,0.008582,0.003001,0.00387,0.014213,0.005064,0.014278,0.000396,0.000131
0.000382,7.4e-05,0.000176,0.001937,0.018176,0.00301,0.011522,0.019802,0.015777,0.016383,0.000961,0.000447
9.6e-05,0.000442,0.000181,0.000595,0.015715,0.002604,0.02619,0.024546,0.013829,0.013507,0.000267,0.000197
0.000222,0.000143,0.000276,0.004011,0.047594,0.001577,0.012411,0.08288,0.018144,0.014827,0.000228,0.000318
0.000216,0.000189,0.000213,0.001041,0.032419,0.001399,0.020698,0.04633,0.010873,0.012661,0.000274,0.000769
0.000197,6.8e-05,0.000283,0.004068,0.013911,0.003053,0.004225,0.007412,0.017863,0.020607,0.001252,0.000428
0.000319,7e-06,0.000324,0.001443,0.040995,0.000272,0.018031,0.06829,0.012178,0.014171,0.001643,0.000875
0.000452,6e-06,0.00025,0.001317,0.015993,0.003708,0.0182,0.013574,0.003079,0.015096,7.6e-05,3.3e-05
0.000364,5e-06,0.000176,0.012148,0.027677,0.008001,0.000995,0.033072,0.004679,0.015332,0.000601,0.000605
0.000675,2.8e-05,0.000329,0.011337,0.015684,0.007511,0.000811,0.035313,0.000955,0.015801,0.00055,0.000385
7.8e-05,0.000109,0.000224,0.015389,0.004291,0.004629,0.00026,0.021293,0.004693,0.014085,0.000433,7.9e-05
0.000298,0.000128,0.000296,0.010205,0.009403,0.006437,0.003129,0.021095,0.000143,0.012992,0.000252,0.000206
