q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.000125,0.000194,4.6e-05,0.022027,0.003421,0.001443,0.002742,0.018914,0.003035,0.006242,0.000936,0.002984
0.000104,0.000268,1e-05,0.023363,0.002095,0.001906,0.003649,0.015459,0.003045,0.005688,0.001789,0.000794
0.000196,0.000178,4.7e-05,0.021769,0.003799,0.002243,0.002443,0.01935,0.002102,0.007313,0.000876,0.002481
0.000156,0.000233,2.7e-05,0.026082,0.001081,0.001917,0.002216,0.015622,0.003657,0.007187,0.000988,0.002534
5.1e-05,0.000214,1.9e-05,0.031033,0.002063,0.000969,0.003941,0.016875,0.00354,0.004509,0.002178,0.00391
0.000188,0.000102,3.4e-05,0.025264,0.004709,0.000358,0.00285,0.013894,0.00392,0.005614,0.003068,0.000967
0.000191,0.000162,2.4e-05,0.026969,0.004831,0.000581,0.002774,0.015734,0.004055,0.004354,0.002203,0.001045
0.000183,0.000133,9e-06,0.028427,0.006637,0.00051,0.001075,0.015715,0.00799,0.004591,0.0027,0.001795
9.4e-05,0.000193,2.7e-05,0.026197,0.005616,0.000363,0.002421,0.019817,0.007723,0.00552,0.001984,0.004104
9.8e-05,0.000247,3.2e-05,0.025283,0.005088,0.001205,0.001112,0.025385,0.00281,0.005047,0.002045,0.003911
0.0001,0.000431,5e-06,0.027499,0.000799,0.002013,0.003905,0.015244,0.003177,0.005164,0.002826,0.001624
0.000136,0.000223,4.9e-05,0.026012,0.005699,0.003818,0.001475,0.019712,0.004163,0.008166,0.000562,0.001662
0.000237,0.000148,4.7e-05,0.02568,0.005055,0.003911,0.000262,0.026078,0.001559,0.006522,0.002577,0.003515
0.000399,0.000169,6.4e-05,0.026273,0.007198,0.00051,0.000588,0.01803,0.005514,0.006286,0.002265,0.000465
9.8e-05,0.000199,3.9e-05,0.023884,0.003774,0.00159,0.001309,0.021258,0.005556,0.007946,0.000759,0.002041
0.000189,0.000176,1.7e-05,0.029189,0.003296,0.000918,0.001582,0.019769,0.003946,0.007061,0.002513,0.000776
0.000226,0.000115,4.7e-05,0.027681,0.004914,0.001267,8.7e-05,0.020907,0.002513,0.004078,0.0024,0.001618
0.000177,0.000153,6.2e-05,0.024292,0.002661,0.002495,0.001644,0.017612,0.004932,0.004848,0.003474,0.002982
0.000267,0.000198,4.6e-05,0.027963,0.0023,0.00048,0.000642,0.014733,0.005181,0.003801,0.003164,0.001392
0.000128,0.000175,2.6e-05,0.029187,0.004395,0.002143,0.000596,0.019661,0.005713,0.004721,0.002925,0.002465
0.000232,0.000138,0.000131,0.030191,0.00275,0.001789,0.002711,0.020862,0.003549,0.005206,0.000633,0.005012
0.000217,0.000236,3.5e-05,0.028695,0.005202,0.000665,0.002639,0.01872,0.004231,0.005405,0.001589,0.001787
5.9e-05,0.000149,3.4e-05,0.022901,0.001115,0.002403,0.006666,0.015136,0.003849,0.005733,0.001949,0.003241
0.000165,0.000151,2.8e-05,0.026697,0.005481,0.002259,0.003827,0.018203,0.003838,0.004873,0.002326,0.003305
7.8e-05,0.000242,4.6e-05,0.021312,0.002534,0.000692,0.000674,0.016397,0.006808,0.006794,0.002173,0.001673
0.000362,0.000152,8e-05,0.026027,0.007633,0.000236,0.005213,0.017371,0.005695,0.004096,0.00344,0.000253
0.000234,0.000208,2.8e-05,0.027938,0.004596,0.000415,0.001564,0.019068,0.006114,0.006531,0.001242,0.001112
3.3e-05,0.000149,2.5e-05,0.027764,0.002643,0.000283,0.000587,0.017387,0.003791,0.005288,0.002959,0.001213
0.00025,0.000228,1.1e-05,0.024412,0.000921,0.001987,0.000894,0.015697,0.004115,0.007104,0.000322,0.002485
0.000524,0.000198,4e-05,0.033096,0.003263,0.000631,0.00247,0.019134,0.002732,0.006857,0.000599,0.001107
0.000199,0.000143,1.5e-05,0.025211,0.004516,0.000883,0.003061,0.018823,0.004866,0.003884,0.001812,0.001282
7.6e-05,0.000357,1.9e-05,0.021672,0.001908,0.00154,0.004206,0.016228,0.003825,0.006055,0.00118,0.001982
0.000225,0.00028,3.7e-05,0.026516,0.000778,0.003592,0.003229,0.016259,0.00288,0.004934,0.000512,0.002507
9.9e-05,0.000238,4.4e-05,0.022399,0.002177,0.002412,0.00621,0.015334,0.003036,0.005663,0.001566,0.002675
9e-05,9.9e-05,3.2e-05,0.028105,0.004459,0.000799,0.003158,0.021119,0.004935,0.006776,0.001372,0.003217
0.000268,0.000155,9e-06,0.028283,0.002963,0.001319,0.001523,0.017935,0.00445,0.004792,0.001948,0.001259
0.000167,0.000271,1.4e-05,0.024617,0.002152,0.002133,0.002649,0.020261,0.003026,0.007321,0.00052,0.002123
9.6e-05,0.000239,9e-06,0.025748,0.002324,0.001322,0.002349,0.017789,0.003722,0.00493,0.000998,0.002166
0.00017,0.000151,6.2e-05,0.024708,0.005141,0.002066,0.000742,0.023562,0.003337,0.004034,0.00227,0.002841
0.000144,0.000299,4e-05,0.020883,0.003267,0.003569,0.005886,0.015569,0.002329,0.007059,0.003489,0.001999
4.4e-05,0.000272,2.3e-05,0.023768,0.002942,0.001377,0.001121,0.017084,0.004453,0.003459,0.003024,0.001451
0.000233,0.000211,1e-06,0.025396,0.005199,0.002005,0.000221,0.018945,0.006537,0.007774,0.002192,0.002315
0.000228,0.000193,3.9e-05,0.028805,0.00596,0.003325,0.000104,0.026088,0.003089,0.00584,0.003492,0.001841
0.000191,0.000269,3.3e-05,0.031709,0.007062,0.000564,0.000844,0.026437,0.005003,0.004744,0.002334,0.00217
