q01,q02,q03,q10,q12,q13,q20,q21,q23,q30,q31,q32
0.000433,1.3e-05,0.000499,0.030948,0.020429,0.000225,0.000928,0.023993,0.007152,0.014295,0.002344,0.000216
0.000198,0.000152,0.000179,0.026661,0.009996,0.000129,5.4e-05,0.019085,0.008809,0.01666,0.001613,0.00143
0.0003,0.000247,0.000325,0.029927,0.027654,0.003759,0.00292,0.048692,0.003902,0.014707,0.002242,0.000635
0.000627,8.1e-05,0.00038,0.031464,0.012514,0.002171,0.000703,0.02109,0.006557,0.013038,0.000915,0.000383
0.000883,4.5e-05,0.000343,0.028769,0.06483,0.001312,0.0045,0.071983,0.009342,0.014798,0.001213,0.002007
0.00089,1.9e-05,0.000299,0.019271,0.059101,0.004038,0.011208,0.049622,0.004896,0.014001,0.000642,0.001252
0.000431,7.4e-05,0.000327,0.027256,0.006956,0.002268,0.002686,0.011669,0.006341,0.01496,0.000199,0.001138
0.000625,0.000162,0.000273,0.016147,0.02147,0.000306,0.006497,0.014217,0.011817,0.0147,0.001523,0.001502
0.00042,0.000215,0.000146,0.022566,0.014824,0.001525,0.000952,0.022061,0.012753,0.016915,0.001176,0.000455
0.00065,8.5e-05,0.000317,0.022599,0.055757,0.004926,0.004384,0.063905,0.004378,0.016684,0.000342,0.000459
0.000559,0.000209,0.000283,0.018936,0.038196,0.000201,0.004705,0.038895,0.01274,0.013812,0.001267,0.000313
0.000371,0.000256,0.000426,0.014465,0.037528,1.7e-05,0.014172,0.054542,0.016029,0.019923,0.001099,0.00091
0.000661,0.000108,0.00022,0.024035,0.017136,0.00035,0.003706,0.013553,0.014473,0.017166,0.00123,0.000449
0.000859,0.000122,0.000322,0.02428,0.030487,0.00558,0.005633,0.039624,0.001182,0.014258,0.001208,0.001141
0.000449,0.000162,0.000241,0.018737,0.023665,0.00076,0.001455,0.023481,0.008867,0.016889,0.000237,0.0004
0.000686,4e-05,0.000328,0.026549,0.017208,0.003877,0.001769,0.026353,0.007202,0.01361,0.000973,0.000251
0.000519,2.1e-05,0.000279,0.025481,0.015135,0.000698,0.001795,0.014041,0.011576,0.019221,0.001815,0.000123
0.000517,8.7e-05,0.000304,0.009858,0.079496,0.003597,0.01625,0.078086,0.008066,0.018415,0.001614,0.001033
0.000604,0.000181,0.00049,0.016322,0.019062,0.001656,0.004558,0.022771,0.010211,0.012362,0.001706,0.00124
0.000226,0.000207,0.000179,0.009432,0.076478,0.0015,0.02559,0.089316,0.007498,0.012228,0.000496,0.001793
0.000329,0.000504,0.000295,0.011731,0.048561,0.004044,0.008952,0.059504,0.007,0.01356,0.000348,0.000749
0.000489,0.00018,0.000317,0.008738,0.088842,0.00329,0.018508,0.088384,0.00978,0.013099,4.9e-05,0.000847
