class,order,family,genus
Magnoliopsidae,Poales,Gramineae,Eleusine
Magnoliopsidae,Poales,Gramineae,Digitaria
Magnoliopsidae,Fabales,Leguminosae-Pap.,Crotalaria
Magnoliopsidae,Poales,Gramineae,Cenchrus
Magnoliopsidae,Fabales,Leguminosae-Caes.,Gilbertiodendron
Magnoliopsidae,Fabales,Leguminosae-Pap.,Desmodium
Magnoliopsidae,Poales,Gramineae,Diheteropogon
Magnoliopsidae,Lamiales,Scrophulariaceae,Striga
Magnoliopsidae,Poales,Gramineae,Eragrostis
Magnoliopsidae,Poales,Gramineae,Andropogon
Magnoliopsidae,Poales,Gramineae,Eriochloa
Magnoliopsidae,Poales,Gramineae,Sporobolus
Magnoliopsidae,Poales,Gramineae,Loudetia
Magnoliopsidae,Poales,Cyperaceae,Cyperus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Tephrosia
Magnoliopsidae,Poales,Gramineae,Schizachyrium
Magnoliopsidae,Solanales,Solanaceae,Schwenckia
Magnoliopsidae,Poales,Gramineae,Echinochloa
Magnoliopsidae,Poales,Gramineae,Dactyloctenium
Magnoliopsidae,Poales,Gramineae,Urochloa
Magnoliopsidae,Poales,Gramineae,Microchloa
Magnoliopsidae,Poales,Gramineae,Oropetium
Magnoliopsidae,Gentianales,Gentianaceae,Neurotheca
Magnoliopsidae,Malpighiales,Flacourtiaceae,Oncoba
Magnoliopsidae,Ericales,Sapotaceae,Synsepalum
Magnoliopsidae,Poales,Gramineae,Panicum
Magnoliopsidae,Poales,Gramineae,Chloris
Magnoliopsidae,Poales,Cyperaceae,Eleocharis
Magnoliopsidae,Poales,Gramineae,Enteropogon
Magnoliopsidae,Poales,Gramineae,Setaria
Magnoliopsidae,Poales,Gramineae,Schoenefeldia
Magnoliopsidae,Vitales,Vitaceae,Cissus
Magnoliopsidae,Fabales,Leguminosae-Pap.,Indigofera
Magnoliopsidae,Gentianales,Rubiaceae,Psychotria
Magnoliopsidae,Gentianales,Rubiaceae,Spermacoce
Magnoliopsidae,Poales,Cyperaceae,Kyllinga
Magnoliopsidae,Poales,Gramineae,Paspalum
Magnoliopsidae,Poales,Gramineae,Hackelochloa
Magnoliopsidae,Poales,Cyperaceae,Bulbostylis
Magnoliopsidae,Magnoliales,Annonaceae,Guatteria
Magnoliopsidae,Poales,Cyperaceae,Lipocarpha
Magnoliopsidae,Gentianales,Rubiaceae,Cuviera
Magnoliopsidae,Oxalidales,Connaraceae,Jollydora
Magnoliopsidae,Lamiales,Acanthaceae,Isoglossa
Magnoliopsidae,Asparagales,Orchidaceae,Calanthe
Magnoliopsidae,Poales,Gramineae,Oryza
Magnoliopsidae,Rosales,Urticaceae,Poikilospermum
Magnoliopsidae,Asterales,Compositae,Conyza
Magnoliopsidae,Asparagales,Amaryllidaceae,Galanthus
Magnoliopsidae,Poales,Cyperaceae,Carex
Magnoliopsidae,Poales,Gramineae,Agrostis
Magnoliopsidae,Malpighiales,Euphorbiaceae,Emblica
Magnoliopsidae,Ranunculales,Menispermaceae,Abuta
Magnoliopsidae,Fabales,Leguminosae-Pap.,Alysicarpus
Magnoliopsidae,Gentianales,Rubiaceae,Oldenlandia
Magnoliopsidae,Magnoliales,Annonaceae,Xylopia
Magnoliopsidae,Magnoliales,Annonaceae,Unonopsis
Magnoliopsidae,Magnoliales,Annonaceae,Duguetia
Basidiomycota,Polyporales,Fomitopsidaceae,Antrodia
Magnoliopsidae,Poales,Gramineae,Tragus
Magnoliopsidae,Poales,Cyperaceae,Fimbristylis
Magnoliopsidae,Malvales,Tiliaceae,Triumfetta
Magnoliopsidae,Lamiales,Acanthaceae,Hygrophila
